0,X42,X83,X94,X103,X144,X159,X186,X187,X264,X272,X311,X421,X447
1,X2,X16,X24,X29,X96,X100,X122,X187,X211,X220,X291,X468,X608
2,X4,X12,X14,X17,X24,X72,X92,X105,X144,X157,X159,X265,X350
3,X4,X12,X14,X17,X24,X72,X92,X105,X144,X157,X159,X265,X350
4,X4,X12,X14,X17,X24,X72,X92,X105,X144,X157,X159,X265,X350
5,X5,X6,X11,X13,X14,X72,X92,X105,X144,X157,X159,X265,X350
6,X4,X12,X14,X17,X24,X72,X92,X105,X144,X157,X159,X265,X350
7,X5,X6,X11,X13,X96,X128,X186,X187,X201,X264,X265,X311,X468
8,X1,X2,X5,X13,X23,X43,X114,X122,X187,X219,X303,X315,X604
9,X1,X2,X5,X13,X23,X43,X114,X122,X187,X219,X303,X315,X604
10,X2,X5,X13,X23,X43,X68,X114,X122,X187,X219,X303,X315,X604
11,X4,X12,X14,X17,X24,X49,X96,X122,X220,X229,X447,X472,X581
12,X2,X16,X24,X29,X42,X96,X100,X128,X200,X264,X265,X311,X468
13,X3,X27,X45,X96,X105,X108,X111,X150,X200,X264,X291,X468,X581
14,X3,X27,X45,X96,X105,X108,X111,X150,X200,X264,X291,X468,X581
15,X2,X16,X24,X29,X96,X105,X108,X111,X150,X197,X229,X264,X581
16,X12,X27,X45,X96,X105,X108,X111,X150,X200,X264,X291,X472,X763
17,X1,X2,X16,X49,X144,X157,X186,X197,X299,X311,X421,X615,X738
18,X1,X2,X16,X49,X144,X157,X186,X197,X299,X311,X447,X472,X581
19,X1,X2,X16,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
20,X1,X2,X16,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
21,X1,X2,X16,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
22,X1,X2,X5,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
23,X2,X5,X10,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
24,X3,X8,X11,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
25,X3,X16,X24,X29,X96,X100,X128,X200,X219,X249,X468,X472,X581
