0,X3,X7,X29,X105,X108,X111,X118,X121,X150,X186,X272,X472,X691
1,X6,X19,X83,X92,X127,X151,X157,X173,X186,X229,X272,X350,X738
2,X2,X8,X23,X33,X42,X83,X108,X111,X121,X150,X270,X272,X738
3,X73,X103,X109,X111,X118,X126,X159,X187,X200,X249,X264,X382,X738
4,X1,X5,X16,X23,X31,X35,X37,X108,X150,X197,X270,X272,X738
5,X2,X8,X33,X42,X108,X111,X118,X121,X159,X270,X272,X275,X738
6,X45,X73,X103,X109,X111,X159,X187,X200,X249,X264,X311,X554,X738
7,X1,X5,X16,X33,X42,X108,X111,X121,X208,X229,X249,X299,X472
8,X8,X22,X23,X33,X42,X52,X83,X108,X121,X159,X229,X249,X738
9,X45,X73,X103,X109,X111,X126,X159,X163,X187,X200,X249,X264,X615
10,X6,X19,X23,X33,X42,X108,X111,X159,X208,X229,X249,X299,X581
11,X1,X5,X33,X42,X108,X111,X118,X121,X159,X270,X272,X275,X502
12,X1,X5,X33,X42,X108,X111,X118,X121,X159,X181,X229,X249,X299
13,X1,X5,X23,X33,X42,X108,X111,X121,X150,X208,X229,X299,X502
14,X1,X5,X83,X92,X126,X159,X186,X187,X200,X249,X311,X382,X738
15,X1,X5,X33,X42,X108,X111,X118,X121,X159,X270,X272,X275,X502
16,X3,X45,X73,X103,X109,X126,X159,X200,X249,X264,X311,X536,X763
17,X2,X8,X33,X42,X108,X111,X118,X121,X159,X270,X272,X275,X738
18,X1,X5,X6,X16,X23,X31,X37,X96,X116,X150,X229,X264,X299
19,X1,X5,X23,X41,X42,X83,X108,X150,X159,X229,X264,X299,X502
20,X1,X5,X6,X16,X23,X31,X35,X37,X96,X108,X150,X249,X299
21,X1,X5,X6,X23,X27,X31,X37,X108,X150,X208,X229,X249,X299
22,X1,X5,X23,X42,X83,X108,X111,X121,X159,X229,X264,X299,X554
23,X1,X5,X23,X33,X42,X68,X83,X108,X111,X121,X229,X249,X738
24,X5,X23,X33,X42,X72,X108,X111,X121,X122,X159,X229,X272,X299
25,X1,X5,X16,X23,X31,X37,X83,X108,X150,X270,X272,X275,X738
26,X1,X5,X16,X23,X31,X83,X150,X159,X197,X208,X229,X249,X299
27,X1,X5,X23,X33,X42,X83,X108,X111,X121,X150,X208,X299,X738
28,X1,X5,X6,X16,X23,X31,X37,X96,X108,X229,X264,X272,X299
29,X5,X16,X23,X31,X37,X43,X83,X108,X121,X159,X229,X249,X299
30,X1,X5,X33,X41,X42,X96,X108,X150,X208,X211,X229,X299,X738
31,X1,X5,X16,X23,X31,X37,X108,X109,X111,X159,X229,X554,X738
32,X1,X5,X16,X23,X31,X37,X108,X150,X157,X159,X208,X299,X738
33,X1,X5,X16,X23,X31,X37,X108,X111,X150,X157,X229,X264,X738
34,X1,X5,X23,X33,X41,X42,X83,X108,X150,X159,X249,X264,X502
35,X1,X14,X33,X92,X111,X126,X159,X187,X200,X249,X264,X311,X738
36,X1,X5,X23,X31,X37,X83,X108,X116,X126,X159,X208,X299,X738
37,X1,X5,X23,X33,X42,X108,X111,X121,X150,X157,X249,X264,X502
38,X5,X23,X33,X42,X108,X111,X121,X128,X150,X208,X229,X249,X299
39,X5,X23,X33,X42,X108,X111,X121,X126,X150,X208,X229,X249,X299
40,X1,X33,X68,X92,X111,X126,X159,X187,X200,X201,X208,X264,X299
41,X1,X5,X23,X37,X45,X83,X92,X128,X159,X208,X229,X299,X738
42,X5,X23,X33,X42,X108,X111,X121,X159,X186,X200,X229,X299,X738
43,X5,X10,X16,X23,X31,X96,X108,X150,X219,X249,X264,X299,X763
44,X1,X5,X16,X23,X31,X37,X83,X108,X116,X127,X208,X264,X299
45,X1,X5,X16,X23,X31,X37,X83,X108,X121,X211,X249,X299,X502
46,X5,X16,X23,X24,X31,X37,X122,X126,X150,X157,X208,X249,X299
47,X1,X5,X16,X23,X31,X37,X96,X108,X150,X249,X264,X291,X299
48,X1,X5,X6,X16,X23,X31,X37,X126,X144,X150,X181,X229,X299
49,X1,X4,X5,X23,X31,X37,X83,X108,X121,X150,X208,X229,X249
50,X1,X16,X23,X37,X83,X90,X96,X108,X150,X163,X229,X264,X299
51,X1,X5,X23,X31,X37,X92,X96,X108,X150,X201,X208,X229,X502
52,X1,X5,X12,X16,X23,X31,X83,X150,X201,X208,X229,X265,X299
53,X1,X5,X10,X23,X33,X41,X83,X108,X150,X159,X249,X264,X299
54,X1,X10,X16,X23,X83,X100,X108,X114,X126,X150,X208,X299,X502
55,X1,X5,X23,X31,X83,X122,X128,X150,X201,X229,X249,X264,X299
56,X1,X10,X16,X23,X31,X92,X108,X126,X150,X159,X229,X264,X299
57,X1,X5,X16,X31,X83,X96,X108,X150,X163,X211,X249,X472,X502
58,X1,X5,X23,X31,X37,X83,X92,X96,X108,X150,X219,X229,X299
59,X1,X5,X11,X16,X23,X31,X41,X83,X108,X150,X249,X299,X502
60,X1,X5,X23,X31,X37,X83,X92,X150,X157,X249,X264,X502,X554
61,X5,X23,X31,X35,X37,X83,X96,X150,X157,X208,X270,X299,X502
62,X1,X5,X16,X23,X33,X83,X92,X96,X108,X150,X229,X264,X299
63,X5,X23,X31,X35,X37,X83,X96,X150,X157,X208,X270,X299,X502
64,X1,X5,X10,X33,X83,X105,X108,X109,X150,X211,X229,X264,X299
65,X5,X23,X31,X83,X122,X128,X150,X201,X208,X249,X264,X275,X299
66,X1,X5,X18,X23,X31,X37,X83,X108,X150,X157,X211,X249,X502
67,X1,X5,X10,X31,X37,X83,X96,X108,X114,X126,X150,X201,X208
68,X1,X10,X16,X18,X31,X33,X83,X109,X114,X126,X150,X201,X208
69,X1,X5,X10,X23,X33,X83,X108,X118,X201,X208,X229,X264,X299
70,X1,X5,X16,X37,X49,X83,X94,X108,X150,X163,X229,X264,X299
71,X1,X5,X23,X31,X35,X37,X83,X96,X157,X229,X249,X299,X502
72,X1,X16,X23,X30,X31,X83,X122,X128,X201,X208,X249,X264,X299
73,X5,X10,X16,X23,X31,X83,X94,X96,X108,X121,X208,X299,X502
74,X1,X16,X23,X31,X83,X92,X94,X96,X108,X208,X219,X299,X502
75,X1,X5,X23,X26,X31,X37,X92,X94,X96,X108,X208,X299,X502
76,X1,X5,X16,X23,X31,X83,X108,X150,X163,X211,X229,X264,X299
77,X5,X23,X31,X35,X41,X83,X108,X126,X150,X211,X229,X264,X299
78,X1,X10,X23,X31,X83,X92,X96,X150,X157,X208,X270,X299,X356
79,X1,X23,X83,X122,X128,X150,X157,X201,X208,X264,X299,X447,X738
80,X1,X5,X16,X23,X31,X92,X103,X109,X114,X126,X150,X201,X208
81,X5,X10,X23,X31,X41,X83,X92,X94,X96,X108,X208,X299,X502
82,X1,X5,X16,X23,X42,X83,X108,X126,X150,X186,X208,X264,X536
83,X1,X5,X10,X19,X23,X31,X83,X109,X114,X150,X201,X208,X502
84,X1,X16,X23,X37,X68,X83,X92,X109,X114,X150,X163,X299,X502
85,X1,X5,X6,X23,X29,X31,X37,X92,X150,X229,X264,X299,X350
86,X5,X6,X23,X29,X31,X37,X109,X114,X126,X197,X208,X299,X502
87,X1,X5,X16,X24,X31,X83,X108,X111,X128,X150,X163,X270,X299
88,X1,X5,X9,X10,X23,X83,X92,X109,X114,X150,X163,X536,X581
89,X1,X16,X23,X31,X83,X108,X111,X122,X128,X150,X163,X264,X299
90,X1,X16,X31,X37,X83,X92,X96,X150,X173,X229,X264,X299,X502
91,X1,X5,X16,X31,X83,X108,X111,X118,X128,X150,X163,X447,X502
92,X1,X5,X23,X31,X37,X83,X108,X111,X118,X150,X163,X447,X738
93,X1,X5,X16,X31,X37,X41,X83,X108,X111,X118,X150,X264,X299
94,X1,X5,X31,X39,X64,X83,X92,X94,X96,X108,X163,X299,X303
95,X1,X5,X22,X31,X37,X92,X109,X114,X121,X126,X163,X270,X299
96,X1,X16,X23,X31,X42,X92,X109,X114,X150,X208,X272,X299,X502
97,X1,X5,X16,X83,X122,X128,X150,X201,X208,X264,X299,X502,X615
98,X1,X5,X9,X83,X122,X128,X150,X201,X208,X264,X299,X536,X581
99,X1,X5,X14,X83,X122,X128,X150,X163,X201,X208,X264,X502,X738
100,X1,X5,X23,X31,X37,X83,X108,X150,X173,X264,X299,X447,X502
101,X1,X5,X83,X122,X128,X150,X200,X201,X208,X229,X264,X299,X738
102,X5,X9,X10,X18,X23,X83,X92,X150,X173,X264,X299,X447,X502
103,X1,X9,X10,X23,X83,X92,X94,X150,X173,X264,X447,X472,X502
104,X1,X5,X14,X23,X31,X83,X92,X150,X173,X264,X299,X447,X502
105,X1,X5,X16,X83,X109,X122,X128,X150,X201,X208,X264,X447,X472
106,X1,X5,X14,X31,X41,X83,X92,X118,X150,X299,X350,X502,X626
107,X1,X5,X10,X16,X23,X52,X83,X92,X108,X208,X299,X421,X502
108,X5,X23,X27,X31,X73,X83,X92,X103,X109,X114,X126,X208,X502
109,X1,X5,X18,X23,X83,X122,X150,X201,X208,X264,X447,X536,X581
110,X1,X6,X23,X31,X37,X73,X83,X92,X109,X114,X126,X208,X502
111,X1,X5,X16,X72,X83,X122,X150,X200,X201,X264,X447,X536,X581
112,X5,X16,X17,X83,X122,X128,X150,X201,X208,X264,X447,X472,X502
113,X1,X5,X9,X10,X23,X83,X108,X111,X150,X208,X219,X382,X536
114,X1,X5,X16,X49,X83,X111,X114,X126,X208,X299,X502,X536,X581
115,X1,X5,X16,X49,X83,X122,X150,X200,X201,X291,X447,X472,X502
116,X1,X5,X14,X49,X83,X122,X128,X150,X201,X208,X447,X472,X502
117,X1,X5,X68,X83,X91,X122,X128,X150,X201,X264,X472,X502,X763
118,X1,X5,X7,X31,X45,X83,X91,X92,X118,X208,X264,X299,X502
119,X1,X5,X14,X41,X83,X122,X128,X201,X208,X264,X447,X472,X502
120,X1,X5,X9,X83,X122,X127,X201,X208,X264,X299,X356,X447,X502
121,X1,X2,X5,X14,X83,X122,X128,X201,X208,X264,X447,X472,X502
122,X1,X14,X16,X83,X122,X125,X128,X201,X264,X311,X447,X472,X502
123,X9,X14,X16,X23,X24,X31,X41,X83,X92,X108,X229,X382,X502
124,X1,X5,X9,X10,X83,X108,X111,X126,X200,X208,X291,X299,X502
125,X1,X9,X14,X16,X23,X31,X39,X41,X92,X108,X150,X299,X502
126,X5,X14,X49,X83,X114,X122,X150,X201,X229,X447,X472,X502,X554
127,X1,X5,X83,X122,X127,X186,X201,X208,X264,X447,X472,X536,X581
128,X1,X5,X10,X16,X23,X31,X41,X83,X92,X108,X229,X536,X626
129,X5,X14,X45,X83,X122,X150,X201,X208,X264,X299,X356,X502,X626
130,X1,X5,X14,X33,X83,X122,X127,X201,X208,X299,X311,X502,X581
131,X1,X5,X14,X26,X122,X150,X201,X208,X264,X299,X356,X536,X581
132,X1,X5,X9,X14,X83,X122,X127,X201,X264,X447,X472,X502,X581
133,X1,X5,X10,X16,X31,X41,X83,X92,X111,X229,X272,X299,X502
134,X1,X9,X14,X16,X23,X31,X72,X83,X92,X111,X208,X472,X626
135,X1,X14,X16,X122,X127,X144,X163,X201,X264,X447,X472,X502,X554
