0,X22,X23,X39,X49,X64,X72,X109,X173,X208,X350,X468,X536,X581
1,X3,X10,X11,X43,X45,X73,X111,X114,X122,X173,X265,X581,X626
2,X6,X10,X14,X26,X27,X52,X73,X92,X111,X125,X208,X581,X626
3,X8,X10,X41,X43,X91,X100,X125,X127,X128,X173,X270,X299,X356
4,X10,X11,X23,X26,X33,X35,X49,X52,X96,X118,X125,X208,X581
5,X10,X11,X23,X26,X33,X35,X49,X52,X96,X118,X125,X208,X581
6,X10,X11,X23,X33,X35,X49,X52,X96,X105,X118,X265,X291,X626
7,X9,X11,X23,X26,X33,X35,X49,X52,X96,X118,X125,X208,X581
8,X17,X18,X23,X26,X33,X35,X49,X52,X96,X118,X197,X208,X581
9,X3,X17,X19,X23,X49,X64,X73,X114,X201,X208,X270,X272,X581
10,X10,X11,X23,X33,X35,X49,X52,X96,X105,X118,X219,X311,X315
11,X6,X12,X13,X19,X49,X72,X109,X111,X201,X208,X270,X272,X581
12,X13,X17,X30,X31,X45,X64,X109,X201,X272,X303,X604,X626,X763
13,X17,X18,X23,X64,X103,X111,X122,X201,X272,X303,X604,X626,X763
14,X13,X17,X30,X31,X37,X72,X96,X100,X272,X303,X604,X626,X763
15,X2,X3,X7,X8,X31,X68,X111,X114,X116,X122,X264,X356,X581
16,X17,X18,X23,X64,X91,X103,X114,X201,X272,X303,X604,X626,X763
17,X8,X12,X19,X22,X26,X45,X111,X114,X116,X122,X303,X421,X472
18,X10,X11,X19,X22,X26,X45,X111,X114,X116,X122,X303,X421,X472
19,X8,X12,X19,X22,X26,X45,X111,X114,X116,X122,X303,X421,X472
20,X4,X13,X18,X22,X49,X73,X111,X114,X116,X122,X604,X626,X763
21,X2,X3,X7,X8,X26,X45,X111,X114,X116,X122,X303,X421,X472
22,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X303,X421,X472
23,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X303,X421,X472
24,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X303,X421,X472
25,X6,X17,X19,X23,X35,X37,X111,X159,X270,X311,X382,X536,X608
26,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X264,X356,X581
27,X17,X18,X23,X49,X72,X114,X159,X201,X270,X303,X604,X626,X763
28,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X303,X421,X615
29,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X303,X421,X615
30,X17,X18,X23,X122,X144,X201,X291,X303,X382,X604,X626,X691,X763
31,X3,X7,X8,X9,X26,X45,X111,X114,X116,X122,X382,X502,X691
32,X3,X7,X8,X9,X10,X26,X45,X111,X114,X116,X382,X502,X691
33,X3,X7,X8,X9,X10,X26,X45,X111,X114,X116,X472,X502,X608
34,X14,X16,X17,X18,X22,X26,X68,X103,X111,X272,X303,X421,X472
35,X14,X17,X19,X52,X64,X103,X208,X270,X311,X382,X536,X608,X763
36,X26,X27,X33,X37,X91,X96,X111,X122,X201,X211,X382,X502,X691
37,X8,X13,X19,X31,X64,X111,X121,X122,X201,X303,X421,X502,X608
38,X17,X39,X52,X64,X83,X122,X125,X197,X200,X201,X303,X382,X691
39,X12,X17,X52,X64,X83,X122,X125,X201,X303,X382,X626,X691,X763
40,X26,X27,X33,X41,X52,X64,X103,X111,X122,X151,X626,X691,X763
41,X27,X33,X41,X103,X122,X125,X128,X201,X303,X382,X626,X691,X763
42,X13,X26,X27,X33,X41,X103,X122,X125,X201,X303,X382,X626,X691
43,X10,X11,X19,X103,X122,X128,X201,X249,X303,X382,X626,X691,X763
44,X17,X18,X23,X49,X103,X122,X125,X201,X303,X382,X626,X691,X763
45,X8,X13,X18,X26,X52,X64,X103,X111,X122,X151,X626,X691,X763
46,X8,X13,X18,X22,X23,X26,X103,X122,X151,X220,X626,X691,X763
47,X17,X52,X68,X83,X94,X109,X111,X144,X151,X303,X472,X502,X691
48,X26,X27,X33,X41,X64,X92,X103,X111,X122,X220,X626,X691,X763
49,X16,X17,X18,X41,X103,X111,X186,X197,X200,X303,X421,X472,X691
50,X26,X27,X33,X64,X103,X111,X186,X197,X200,X303,X421,X472,X691
51,X17,X18,X23,X41,X64,X72,X92,X103,X111,X122,X220,X626,X763
52,X17,X18,X23,X41,X52,X64,X103,X111,X122,X151,X626,X691,X763
53,X17,X18,X23,X41,X52,X64,X103,X111,X122,X151,X626,X691,X763
54,X26,X27,X33,X41,X103,X111,X151,X211,X219,X272,X626,X691,X763
55,X4,X8,X13,X49,X103,X111,X122,X125,X151,X200,X626,X691,X763
56,X26,X27,X33,X41,X103,X111,X151,X211,X219,X272,X626,X691,X763
57,X17,X18,X41,X43,X64,X103,X111,X186,X197,X200,X201,X303,X472
58,X17,X18,X23,X49,X94,X111,X144,X151,X299,X303,X626,X691,X763
59,X2,X3,X7,X8,X18,X22,X23,X103,X114,X151,X626,X691,X763
60,X17,X18,X33,X37,X111,X122,X197,X200,X201,X220,X303,X502,X536
61,X14,X17,X19,X22,X103,X114,X116,X186,X197,X200,X201,X472,X763
62,X18,X41,X64,X103,X111,X186,X197,X200,X201,X220,X626,X691,X763
63,X4,X8,X13,X23,X68,X103,X111,X144,X151,X299,X303,X421,X472
64,X14,X17,X19,X22,X103,X114,X116,X186,X197,X200,X201,X472,X763
65,X26,X27,X33,X49,X103,X114,X197,X200,X201,X220,X270,X303,X472
66,X26,X27,X33,X49,X103,X114,X197,X200,X201,X220,X270,X303,X472
67,X14,X17,X19,X22,X103,X114,X197,X200,X201,X220,X270,X303,X472
68,X8,X18,X22,X23,X26,X103,X108,X111,X151,X299,X350,X472,X502
69,X3,X7,X8,X13,X18,X22,X23,X26,X105,X114,X151,X303,X472
70,X17,X18,X33,X49,X103,X114,X197,X200,X201,X220,X270,X303,X472
