0,X18,X26,X27,X49,X83,X103,X157,X173,X200,X303,X536,X604,X615
1,X26,X27,X49,X83,X103,X157,X173,X200,X303,X421,X536,X604,X615
2,X26,X27,X49,X83,X103,X157,X173,X200,X220,X229,X264,X265,X502
3,X26,X27,X49,X83,X103,X157,X173,X200,X220,X229,X264,X265,X502
4,X26,X27,X49,X83,X103,X157,X173,X200,X220,X229,X264,X265,X502
5,X26,X27,X49,X83,X103,X157,X173,X200,X220,X229,X264,X265,X502
6,X1,X29,X49,X83,X103,X108,X109,X151,X186,X200,X356,X447,X536
7,X5,X29,X49,X83,X103,X108,X109,X151,X186,X200,X356,X447,X536
8,X5,X29,X49,X83,X103,X108,X109,X151,X186,X200,X356,X447,X536
9,X5,X29,X49,X103,X108,X109,X111,X151,X186,X200,X265,X299,X626
10,X22,X26,X35,X83,X103,X157,X173,X186,X249,X303,X447,X608,X615
11,X22,X26,X35,X83,X103,X157,X173,X186,X249,X303,X447,X608,X615
12,X13,X30,X33,X83,X103,X157,X173,X186,X249,X303,X311,X608,X615
13,X26,X27,X49,X83,X116,X157,X173,X186,X249,X264,X315,X350,X604
14,X26,X27,X49,X83,X116,X157,X173,X186,X249,X264,X315,X350,X604
15,X26,X27,X49,X83,X116,X157,X173,X186,X249,X264,X315,X350,X604
16,X26,X27,X49,X83,X116,X157,X173,X186,X249,X264,X315,X350,X763
17,X26,X27,X49,X103,X105,X157,X173,X186,X249,X303,X447,X554,X738
18,X26,X27,X49,X103,X105,X157,X173,X186,X249,X303,X447,X554,X738
19,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X626,X738
20,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X626,X738
21,X26,X27,X49,X103,X105,X157,X173,X186,X264,X299,X356,X536,X581
22,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X626,X738
23,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X626,X738
24,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X626,X738
25,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X502,X536
26,X26,X27,X49,X103,X105,X157,X173,X186,X249,X275,X299,X502,X536
27,X9,X16,X49,X103,X105,X157,X173,X186,X249,X264,X291,X315,X350
28,X9,X16,X49,X103,X105,X157,X173,X186,X249,X264,X291,X315,X350
29,X9,X16,X49,X103,X105,X157,X173,X186,X249,X264,X291,X315,X350
30,X9,X16,X49,X103,X105,X157,X173,X186,X249,X264,X291,X315,X350
31,X9,X16,X49,X103,X105,X157,X173,X186,X249,X264,X291,X315,X350
32,X9,X16,X23,X49,X103,X105,X173,X186,X249,X264,X291,X315,X350
33,X2,X5,X12,X23,X39,X41,X45,X92,X125,X126,X151,X315,X350
34,X2,X5,X12,X23,X39,X41,X45,X92,X103,X125,X151,X626,X738
35,X22,X24,X27,X31,X43,X83,X92,X96,X208,X275,X299,X626,X738
36,X22,X27,X31,X43,X83,X92,X96,X125,X126,X157,X220,X315,X350
37,X5,X24,X27,X37,X43,X68,X116,X181,X187,X299,X356,X536,X581
38,X5,X6,X24,X43,X108,X125,X126,X264,X299,X311,X356,X502,X615
39,X5,X6,X24,X43,X108,X125,X126,X264,X299,X311,X356,X502,X615
40,X2,X6,X22,X24,X43,X83,X116,X125,X126,X157,X220,X315,X350
41,X5,X6,X24,X33,X108,X114,X116,X125,X126,X157,X186,X220,X299
42,X5,X6,X24,X37,X43,X45,X96,X125,X126,X157,X186,X220,X299
43,X5,X6,X24,X37,X108,X114,X116,X125,X126,X157,X186,X220,X299
44,X5,X6,X24,X37,X108,X114,X116,X125,X126,X157,X186,X220,X299
45,X24,X27,X31,X37,X43,X83,X100,X125,X126,X157,X186,X220,X299
46,X22,X24,X27,X33,X39,X43,X125,X126,X208,X275,X299,X315,X350
47,X22,X24,X27,X33,X39,X43,X125,X126,X208,X275,X299,X315,X350
48,X6,X30,X33,X73,X108,X114,X116,X125,X126,X157,X299,X502,X763
49,X5,X6,X24,X33,X43,X103,X109,X121,X125,X126,X157,X220,X299
50,X6,X30,X33,X83,X96,X109,X116,X125,X126,X157,X299,X502,X536
51,X6,X30,X33,X73,X108,X114,X116,X121,X157,X208,X220,X315,X350
52,X6,X30,X33,X37,X43,X92,X108,X109,X116,X125,X126,X220,X691
53,X6,X30,X33,X37,X43,X92,X108,X109,X116,X125,X126,X220,X691
54,X5,X6,X24,X27,X33,X108,X114,X116,X121,X157,X208,X220,X315
55,X6,X30,X33,X37,X73,X108,X114,X116,X121,X157,X173,X208,X350
56,X3,X5,X6,X26,X33,X43,X114,X116,X121,X157,X173,X208,X350
57,X2,X30,X33,X39,X108,X116,X125,X126,X157,X220,X299,X554,X763
58,X2,X30,X33,X39,X108,X116,X125,X126,X157,X220,X299,X554,X763
59,X6,X30,X33,X94,X108,X114,X116,X157,X181,X187,X220,X554,X763
60,X6,X30,X33,X43,X83,X96,X100,X116,X125,X126,X157,X220,X763
61,X5,X6,X26,X33,X43,X92,X108,X116,X126,X157,X220,X291,X299
62,X5,X6,X26,X33,X83,X108,X114,X116,X125,X157,X220,X356,X763
63,X5,X6,X22,X33,X68,X83,X109,X111,X116,X157,X220,X299,X502
64,X5,X6,X22,X33,X68,X83,X109,X111,X116,X157,X220,X502,X763
65,X5,X6,X7,X26,X33,X43,X105,X125,X126,X163,X220,X299,X502
66,X5,X6,X7,X26,X33,X43,X105,X125,X126,X163,X220,X299,X502
67,X5,X6,X7,X26,X33,X43,X105,X125,X126,X220,X299,X502,X763
68,X6,X24,X27,X33,X43,X83,X96,X105,X116,X126,X220,X299,X502
69,X5,X33,X43,X103,X116,X125,X150,X157,X173,X220,X350,X468,X536
70,X6,X23,X24,X108,X114,X116,X121,X128,X144,X220,X299,X502,X615
71,X6,X14,X22,X33,X43,X116,X125,X126,X157,X181,X220,X291,X299
72,X6,X14,X22,X33,X37,X92,X116,X125,X126,X157,X220,X315,X350
73,X6,X14,X22,X33,X68,X83,X96,X100,X116,X157,X220,X291,X502
74,X12,X14,X24,X27,X29,X33,X83,X116,X126,X157,X220,X299,X315
75,X12,X14,X24,X27,X29,X33,X83,X116,X126,X157,X220,X299,X315
76,X6,X14,X22,X108,X114,X116,X121,X127,X157,X181,X186,X220,X299
77,X5,X14,X17,X22,X49,X83,X108,X114,X116,X125,X157,X220,X502
78,X5,X14,X17,X22,X49,X83,X108,X114,X116,X125,X157,X220,X502
79,X24,X42,X43,X83,X103,X109,X157,X220,X299,X315,X502,X581,X763
80,X6,X14,X22,X33,X35,X83,X96,X100,X116,X157,X220,X502,X763
81,X6,X14,X22,X33,X94,X108,X114,X116,X163,X181,X220,X536,X615
82,X6,X14,X22,X26,X33,X42,X43,X96,X116,X157,X220,X299,X303
83,X12,X14,X24,X27,X33,X68,X83,X105,X157,X187,X200,X299,X691
84,X12,X14,X24,X27,X33,X68,X83,X105,X157,X187,X200,X468,X472
85,X6,X14,X22,X33,X94,X108,X114,X116,X186,X220,X270,X299,X502
86,X12,X14,X24,X27,X33,X68,X83,X105,X157,X187,X200,X468,X472
87,X12,X14,X24,X27,X33,X68,X83,X105,X157,X187,X200,X468,X472
88,X12,X14,X24,X27,X33,X68,X105,X108,X116,X187,X200,X220,X291
89,X12,X14,X24,X27,X33,X68,X105,X108,X116,X187,X200,X220,X291
90,X12,X24,X27,X33,X68,X105,X108,X111,X116,X187,X200,X220,X291
91,X14,X24,X27,X33,X68,X105,X108,X111,X116,X187,X200,X220,X291
92,X14,X24,X27,X33,X68,X105,X108,X111,X116,X187,X200,X220,X291
93,X8,X10,X14,X22,X68,X83,X103,X109,X150,X157,X219,X220,X691
94,X8,X10,X14,X22,X68,X83,X103,X109,X150,X157,X219,X220,X691
95,X5,X7,X14,X22,X68,X105,X108,X111,X116,X187,X200,X220,X291
96,X14,X22,X24,X26,X64,X68,X83,X100,X116,X150,X186,X220,X763
97,X14,X22,X24,X26,X64,X68,X83,X100,X116,X150,X186,X220,X763
98,X14,X22,X24,X26,X64,X68,X83,X100,X116,X150,X186,X220,X291
99,X14,X22,X24,X26,X64,X68,X83,X100,X116,X150,X186,X220,X763
100,X5,X14,X22,X24,X26,X68,X83,X103,X105,X150,X157,X220,X270
101,X5,X14,X22,X24,X26,X68,X83,X103,X105,X150,X220,X299,X763
102,X14,X33,X43,X83,X100,X116,X157,X173,X186,X187,X270,X299,X468
103,X14,X33,X43,X83,X100,X116,X157,X173,X186,X187,X270,X299,X763
104,X12,X14,X24,X27,X68,X83,X116,X127,X157,X181,X186,X220,X315
105,X12,X14,X24,X27,X83,X100,X103,X116,X157,X181,X187,X220,X299
106,X23,X24,X30,X37,X64,X68,X72,X83,X100,X116,X186,X220,X502
107,X12,X14,X24,X27,X68,X83,X116,X127,X157,X181,X186,X220,X315
108,X12,X14,X24,X27,X90,X109,X127,X157,X173,X181,X220,X299,X502
109,X12,X14,X24,X27,X90,X109,X127,X157,X173,X181,X220,X299,X502
110,X12,X14,X24,X27,X90,X109,X127,X157,X173,X181,X220,X275,X763
111,X7,X18,X24,X41,X68,X83,X116,X127,X157,X181,X186,X220,X315
112,X5,X23,X24,X30,X100,X116,X125,X157,X181,X186,X220,X299,X502
113,X14,X24,X33,X41,X68,X83,X100,X103,X116,X125,X150,X157,X220
114,X12,X14,X24,X64,X90,X109,X127,X157,X173,X181,X220,X265,X608
115,X12,X14,X24,X90,X109,X127,X157,X173,X181,X220,X265,X502,X554
116,X12,X14,X24,X90,X103,X109,X157,X173,X181,X220,X265,X468,X608
