,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si,Moeq,Bo,Md
0,0.07714449180882696,0.922855508191173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,2.7619194049815867,2.4279453105232194
1,0.0,0.8721067748599137,0.12789322514008633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.045,2.791918398377102,2.3734613955444503
2,0.0,0.9816560637738233,0.0,0.018343936226176753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,2.7956682762938887,2.446578089466798
3,0.10978853738727096,0.8902114626127291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5,2.7500369723910336,2.4198822312653445
4,0.0,0.9976033248929009,0.0,0.0,0.002396675107099004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,2.7908484229879127,2.4472013207089964
5,0.0,0.9703657832313412,0.0,0.0,0.0,0.029634216768658798,0.0,0.0,0.0,0.0,0.0,0.0,-0.935,2.798771728163523,2.461431863566337
6,0.05201323503045252,0.9479867649695476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.7710671824489155,2.4341527309474786
7,0.0,0.9717842267173397,0.0,0.0,0.0,0.0,0.028215773282660325,0.0,0.0,0.0,0.0,0.0,5.5,2.7977029061061662,2.433287134184627
8,0.0,0.9984057575642418,0.0,0.0,0.0015942424357581109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.7905643618222578,2.4471339163646033
9,0.0,0.9871152849162131,0.0,0.0,0.0,0.0,0.0,0.012884715083786852,0.0,0.0,0.0,0.0,4.35,2.7882090246033537,2.427956391106163
10,0.11779974300334517,0.8822002569966548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,2.747120893546782,2.417903463478174
11,0.0,0.8145883065707569,0.18541169342924324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.065000000000001,2.7927811754014393,2.3403882762781856
