,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta,Moeq,Bo,Md,fliter
6,0.0,0.0,0.9049084127824534,0.0435898086695308,0.0,0.0,0.0,0.0,0.0,0.0515017785480157,0.0,0.0,9.86,2.805434561675972,2.4035769344926203,False
11,0.0,0.0,0.7824512273966705,0.0829455721692032,0.0,0.1346032004341261,0.0,0.0,0.0,0.0,0.0,0.0,7.200000000000001,2.7400920337481165,2.3333787500608127,False
15,0.0,0.0215693553648933,0.9773823063841472,0.0,0.0,0.0,0.0,0.0010483382509595,0.0,0.0,0.0,0.0,7.426,2.7873530529183514,2.414727365926578,False
25,0.0154323920309069,0.0,0.7907723992817738,0.0,0.1937952086873191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.135000000000002,2.789372910355232,2.3317559541731576,False
30,0.0,0.0353308880877267,0.9480483264244532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166207854878198,0.0,10.28,2.7766622683134807,2.389013534842066,False
31,0.0,0.0,0.8093145983545807,0.0,0.0,0.0,0.0,0.0,0.0324175898086994,0.1582678118367197,0.0,0.0,12.78,2.8477547558753216,2.427604891680728,False
49,0.0,0.0,0.7546741250616945,0.0,0.2068266397817591,0.0,0.0384992351565464,0.0,0.0,0.0,0.0,0.0,12.88,2.8044981732030645,2.3468238096467267,False
66,0.0,0.0363364463840894,0.9273391596922403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363243939236701,0.0,8.795,2.766532766233311,2.3806901675528027,False
74,0.0,0.0310827969434586,0.9480281361190172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208890669375241,0.0,8.5,2.775088734287534,2.3938111198902474,False
88,0.0,0.0,0.8921512836592047,0.0,0.0731074329885112,0.0,0.0,0.0,0.0,0.0347412833522841,0.0,0.0,6.845000000000001,2.801831668050684,2.404164176514504,False
94,0.0,0.033695712968618,0.9139989420588316,0.0,0.0,0.0523053449725504,0.0,0.0,0.0,0.0,0.0,0.0,8.6,2.766277150327354,2.3842783160241625,False
118,0.0,0.0215372868462381,0.9779393233435232,0.0,0.0,0.0,0.0,0.0005233898102385,0.0,0.0,0.0,0.0,7.338,2.787181652714803,2.414971618862421,False
127,0.0,0.0146255378323136,0.841783467499125,0.0,0.0,0.0,0.0,0.0,0.0,0.1435909946685614,0.0,0.0,11.21,2.8323366675938937,2.422080862206464,False
131,0.0,0.0217124433797143,0.9676541145389024,0.0,0.0,0.0,0.0106334420813833,0.0,0.0,0.0,0.0,0.0,6.91,2.7901294692263097,2.420087494978416,False
133,0.0,0.0320229175291383,0.9019815356571028,0.0,0.0,0.0,0.0,0.0,0.0,0.0659955468137588,0.0,0.0,13.510000000000002,2.805941438428901,2.3981522303152176,False
144,0.0,0.0,0.9670556311561084,0.0,0.0,0.0,0.0,0.0,0.0310250360812584,0.0,0.0,0.0019193327626332,6.175,2.7991492786481555,2.4320830564165696,False
149,0.0,0.0172816568694519,0.9808809685398384,0.0,0.0,0.0,0.0,0.0018373745907097,0.0,0.0,0.0,0.0,6.108,2.7882133701830343,2.420768695675434,False
156,0.0,0.0242814536337112,0.8385220346787627,0.0,0.0,0.0,0.0,0.0,0.0,0.137196511687526,0.0,0.0,13.830000000000002,2.82901860005636,2.407956491760562,False
157,0.0,0.0216015195245109,0.9768236281806504,0.0,0.0,0.0,0.0,0.0015748522948385,0.0,0.0,0.0,0.0,7.514,2.7875249643048643,2.4144823845322088,False
184,0.0,0.0216337797535885,0.9762632812902076,0.0,0.0,0.0,0.0,0.0021029389562039,0.0,0.0,0.0,0.0,7.602,2.78769738916458,2.41423667141562,False
194,0.0,0.0269169848684441,0.9263956606714168,0.0,0.0,0.0,0.0466873544601392,0.0,0.0,0.0,0.0,0.0,7.254999999999999,2.800077996023488,2.4299534379865277,False
197,0.0,0.0,0.7915652587168612,0.0,0.0,0.1350253952741998,0.0,0.0,0.0734093460089389,0.0,0.0,0.0,7.0,2.760891507580632,2.3779717852069284,False
226,0.0,0.0,0.9052475758975516,0.0,0.0,0.0,0.0457832230954738,0.0,0.0489692010069743,0.0,0.0,0.0,7.64,2.816920425911164,2.445497397958106,False
233,0.0103101799243451,0.0,0.795481741440727,0.0,0.1942080786349278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.335,2.790552089976849,2.332783740343604,False
237,0.0,0.0232593040869286,0.8900586927297022,0.0,0.0,0.0,0.0,0.0,0.0,0.0866820031833691,0.0,0.0,11.59,2.8135516957155784,2.410629062486302,False
258,0.0,0.0,0.7845047204364282,0.0,0.1855079082560012,0.0,0.0299873713075706,0.0,0.0,0.0,0.0,0.0,11.795,2.801658880530881,2.3549368025795863,False
261,0.0,0.0340846444640231,0.9394608168144212,0.0,0.0,0.0264545387215556,0.0,0.0,0.0,0.0,0.0,0.0,10.1,2.7756327823248546,2.3900886244179493,False
272,0.0,0.0259398489170431,0.972459016101888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016011349810688,8.85,2.7869611627838293,2.40879539863902,False
280,0.0,0.0,0.8308374483675037,0.0,0.0,0.1000819608021901,0.0,0.0,0.0690805908303062,0.0,0.0,0.0,8.0,2.7724291675646766,2.3887065885383305,False
298,0.0,0.0,0.7762890860516852,0.0,0.2091033039309474,0.0,0.0,0.0,0.0,0.0,0.0146076100173673,0.0,13.250000000000002,2.785730491280159,2.321696759563679,False
300,0.0,0.0271193679372293,0.917541353566813,0.0,0.0,0.0,0.0553392784959577,0.0,0.0,0.0,0.0,0.0,6.999999999999999,2.802610834291529,2.4338678028163065,False
301,0.0,0.0,0.871176941996673,0.0,0.0744172993217861,0.0,0.0,0.0,0.0,0.0544057586815409,0.0,0.0,7.825000000000001,2.8079276389224237,2.4029587204402976,False
322,0.0,0.0,0.8805130861291612,0.0786028200654028,0.0,0.0,0.0,0.0,0.0,0.0,0.040884093805436,0.0,9.665,2.7684071334199247,2.356647086806139,False
334,0.0,0.0216330526622433,0.9762304699835148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021364773542418,7.45,2.78774931866335,2.4152058122629607,False
344,0.0,0.0,0.6721040239761717,0.0,0.1925954649264173,0.135300511097411,0.0,0.0,0.0,0.0,0.0,0.0,6.405000000000001,2.743639545934439,2.3028383814262496,False
360,0.0,0.0172075517258596,0.9686446567740424,0.0,0.0141477915000976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.805,2.7878203671826065,2.413432258436623,False
363,0.0,0.0,0.8599754751738086,0.0874253221534507,0.0,0.0,0.0525992026727406,0.0,0.0,0.0,0.0,0.0,12.785,2.804607685447443,2.3879006745349307,False
373,0.0,0.0233206605933588,0.8869651050046521,0.0,0.0,0.0,0.0,0.0,0.0,0.0897142344019891,0.0,0.0,11.73,2.8144801266077377,2.4104686362517698,False
376,0.0,0.0,0.8023056483575727,0.0,0.1788039848972891,0.0,0.0188903667451381,0.0,0.0,0.0,0.0,0.0,11.8,2.79827360833002,2.353387317288941,False
412,0.0,0.0,0.7322256057722677,0.0,0.1731457274377279,0.0946286667900043,0.0,0.0,0.0,0.0,0.0,0.0,7.23,2.758152351200004,2.324067926026175,False
420,0.0017092624378671,0.0214901224673195,0.9768006150948134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,2.7866214518787715,2.4148154111711486,False
426,0.0,0.0,0.9029826288176538,0.0483300476306927,0.0,0.0,0.0,0.0,0.0,0.0486873235516533,0.0,0.0,10.52,2.804512752453523,2.3990483754041705,False
429,0.0,0.0,0.814802825119397,0.0,0.1383053809759264,0.0,0.0468917939046765,0.0,0.0,0.0,0.0,0.0,7.935,2.805954551710423,2.3903107095704192,False
433,0.0,0.02584408630462,0.9738942254520376,0.0,0.0,0.0,0.0,0.0002616882433423,0.0,0.0,0.0,0.0,8.744,2.786495337565177,2.408704307350518,False
436,0.0,0.0,0.8802262038465086,0.0815122318116248,0.0,0.0,0.0382615643418665,0.0,0.0,0.0,0.0,0.0,12.410000000000002,2.8004287884952643,2.386648029209025,False
447,0.0,0.0,0.8537050348523347,0.0878659777769552,0.0,0.0,0.05842898737071,0.0,0.0,0.0,0.0,0.0,12.615,2.806328454506184,2.3903127843836667,False
453,0.0,0.0316631154160997,0.9129558858363248,0.0,0.0,0.0,0.0553809987475754,0.0,0.0,0.0,0.0,0.0,8.45,2.801991602586445,2.427172461805074,False
457,0.0,0.0215371066867564,0.9779311428775728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005317504356707,7.3,2.7871945818247688,2.4152128233535706,False
458,0.0,0.0,0.9523362795901524,0.0,0.0,0.0,0.0137282773255465,0.0,0.0339354430843012,0.0,0.0,0.0,6.075,2.803327946050376,2.437193045718571,False
466,0.0,0.0,0.8769726012979565,0.0541503336290434,0.0,0.0,0.0,0.0,0.0,0.0688770650730001,0.0,0.0,12.3,2.8106873594376376,2.3929441542167784,False
