,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta,Moeq,Bo,Md,fliter
0,0.0068421556987588,0.0387111085414268,0.9544467357598144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45,2.7830523022577265,2.3880949691181783,True
1,0.0051369038716785,0.0,0.91624842483907,0.0786146712892515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.400000000000002,2.787958887629204,2.3695535682644104,True
5,0.0,0.0,0.920968426562908,0.0,0.0,0.0,0.0226081859417762,0.0,0.0564233874953159,0.0,0.0,0.0,9.82,2.812095607824987,2.430588420230922,True
10,0.0,0.0,0.9581324971351324,0.0416060018408231,0.0,0.0,0.0,0.0002615010240445,0.0,0.0,0.0,0.0,7.244,2.789629936822806,2.4065857213322257,True
26,0.0,0.0,0.9378206292192282,0.0,0.0,0.0,0.0,0.0011086642991842,0.0610707064815875,0.0,0.0,0.0,11.676,2.8070437054097,2.4169038875377544,True
29,0.0,0.0,0.9350271353668688,0.0286925557662165,0.0,0.0,0.0,0.0,0.0362803088669146,0.0,0.0,0.0,11.8,2.7995889062072394,2.4015646833532163,True
32,0.0,0.0,0.9025410150914152,0.0620765147276967,0.0,0.0,0.0353824701808879,0.0,0.0,0.0,0.0,0.0,9.295,2.799790369511538,2.404079120206954,True
34,0.0,0.0,0.933622964113544,0.0650420329552504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013350029312056,11.325,2.78975712867514,2.384086410312584,True
35,0.0,0.0086279977556578,0.9109754817965764,0.0,0.0803965204477656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.595,2.7900066561186803,2.388019820059673,True
39,0.0,0.0345560853733152,0.9322971690294628,0.0,0.0331467455972221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.945,2.785693905317068,2.376866727099838,True
42,0.0,0.0301953049007292,0.9692721800587442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005325150405266,10.2,2.7859913629431445,2.4024160706201263,True
45,0.0,0.0,0.8445555288150044,0.0,0.0315328140985068,0.0,0.0,0.0,0.0,0.1239116570864887,0.0,0.0,8.030000000000001,2.828761694251203,2.4260186637803693,True
48,0.01531513971476,0.0,0.9295362977177304,0.0551485625675096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.000000000000002,2.7858861988170776,2.3897782033625377,True
52,0.0,0.0,0.7614461218563408,0.0,0.1928252402142366,0.0,0.0,0.0,0.0,0.0,0.0457286379294225,0.0,9.265,2.769707959172996,2.320257649515304,True
58,0.0143448028796503,0.0,0.9279218506166396,0.0,0.0,0.0,0.0,0.0,0.0577333465037101,0.0,0.0,0.0,7.8,2.802476243736073,2.415398427287923,True
60,0.0153333753394738,0.0,0.9156488402141064,0.0690177844464196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,2.7857294614183497,2.376334423162569,True
62,0.0,0.0,0.8676497878507587,0.0,0.0,0.0,0.0620826343471997,0.0,0.0702675778020415,0.0,0.0,0.0,10.715,2.8275595085067287,2.443084200115294,True
79,0.0,0.0301627027752107,0.9652093694268224,0.004627927797967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95,2.7857564771084684,2.397935063262009,True
104,0.0,0.0346621344614539,0.963465787884607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018720776539391,11.775,2.7858446787993527,2.395926619788902,True
105,0.0,0.0,0.868003706140603,0.0887861745814469,0.0,0.0,0.0,0.0,0.0,0.0,0.0432101192779501,0.0,11.1,2.767115821605684,2.345972285441129,True
109,0.0,0.0,0.9291890370864192,0.0,0.0,0.0,0.0,0.0,0.05120595399288,0.0,0.0196050089207008,0.0,8.015,2.794039485917261,2.415310968263977,True
112,0.0,0.0,0.8473628417921916,0.0,0.0,0.0100216730037473,0.0,0.0,0.0,0.142615485204061,0.0,0.0,6.36,2.8304202959546907,2.441244490608381,True
121,0.0,0.0,0.9328118510980576,0.0,0.0,0.0,0.0,0.0005564241937123,0.0666317247082301,0.0,0.0,0.0,12.588,2.8083768629502406,2.414408322719158,True
124,0.0,0.0,0.8306946497467804,0.0,0.125445796618445,0.0438595536347745,0.0,0.0,0.0,0.0,0.0,0.0,6.545,2.775916809426219,2.364035357196605,True
137,0.0,0.0,0.928651951198434,0.0697694022228117,0.0,0.0,0.0,0.0015786465787542,0.0,0.0,0.0,0.0,12.264,2.789761383179432,2.3788014567790623,True
139,0.0,0.0,0.906583501625149,0.0663879798677776,0.0,0.0,0.0270285185070733,0.0,0.0,0.0,0.0,0.0,10.35,2.797270173699548,2.395832936021068,True
148,0.0,0.0,0.7739788608522192,0.0,0.1564988488400121,0.0695222903077685,0.0,0.0,0.0,0.0,0.0,0.0,7.390000000000001,2.767041369060572,2.339841156210974,True
151,0.0,0.0,0.9468496915865688,0.0,0.0,0.0,0.0,0.0005490740251905,0.0526012343882407,0.0,0.0,0.0,10.088,2.8045440767864287,2.4212298973278688,True
152,0.0,0.0,0.886775459601594,0.0,0.0,0.0,0.0,0.0,0.0304142841435802,0.0828102562548258,0.0,0.0,9.56,2.8238914687539385,2.430314022012359,True
153,0.0,0.0,0.895261316894793,0.0,0.1042052876981969,0.0,0.0,0.0,0.0,0.0,0.0,0.0005333954070101,7.42,2.791751901289554,2.3871267647877263,True
158,0.0,0.0,0.911361757133945,0.0616207756934689,0.0,0.0,0.0270174671725862,0.0,0.0,0.0,0.0,0.0,9.55,2.7973193417504576,2.4004469748660786,True
171,0.0,0.0,0.8813015592146323,0.0,0.118435892428879,0.0,0.0,0.0002625483564887,0.0,0.0,0.0,0.0,8.419,2.791864492085857,2.3788009062197117,True
176,0.0,0.0227798352981761,0.9142334517850846,0.0,0.0,0.0,0.0,0.0,0.0,0.0629867129167392,0.0,0.0,10.47,2.806296497184826,2.4118827090322106,True
195,0.0,0.0,0.9566640355836388,0.0417611090171338,0.0,0.0,0.0,0.0015748553992275,0.0,0.0,0.0,0.0,7.464,2.790068204359553,2.4059429145876874,True
198,0.0,0.0308883877881016,0.9420986391843348,0.0,0.0,0.0,0.0270129730275637,0.0,0.0,0.0,0.0,0.0,9.3,2.793702354113613,2.41450228071361,True
