,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si,Moeq,Bo,Md,fliter
1,0.0,0.8721067748599137,0.1278932251400863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.045,2.791918398377102,2.3734613955444503,True
11,0.0,0.8145883065707569,0.1854116934292432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.065,2.7927811754014398,2.3403882762781856,True
17,0.0,0.9306269252538568,0.0,0.0,0.0,0.0,0.0693730747461432,0.0,0.0,0.0,0.0,0.0,13.0,2.808938849405697,2.4132846856733745,True
24,0.0,0.961179119269567,0.0,0.0,0.0,0.0,0.0,0.038820880730433,0.0,0.0,0.0,0.0,13.05,2.78460389757847,2.38962273828042,True
33,0.0,0.8481918731417244,0.1518081268582755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72,2.792277121902874,2.3597103270564914,True
44,0.0,0.9698493335015425,0.0,0.0,0.0,0.0,0.0,0.0301506664984575,0.0,0.0,0.0,0.0,10.15,2.7858090573567145,2.40243731491528,True
50,0.0,0.9529806697108232,0.0,0.0,0.0,0.0,0.0470193302891766,0.0,0.0,0.0,0.0,0.0,9.0,2.802836277168945,2.42414860547946,True
57,0.0,0.9351984848464336,0.0,0.0,0.0,0.0,0.0,0.0,0.0648015151535663,0.0,0.0,0.0,11.2,2.7892871833333106,2.384207331816194,True
64,0.0,0.8338079165540347,0.1661920834459652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.725,2.792492881251689,2.35143955201857,True
69,0.0,0.944500162904028,0.0,0.0,0.0,0.0,0.0,0.0,0.0554998370959719,0.0,0.0,0.0,9.6,2.7893895017919443,2.393220657854003,True
97,0.0,0.9149707146416922,0.0850292853583077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,2.7912754392803745,2.398108160918973,True
108,0.0,0.895949015636193,0.104050984363807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,2.7915607647654577,2.387170683990812,True
117,0.0,0.947480681181062,0.0,0.0,0.0,0.0,0.0525193188189379,0.0,0.0,0.0,0.0,0.0,10.0,2.8043377740375703,2.4214756110539963,True
125,0.0,0.9655173407427312,0.0,0.0,0.0,0.0,0.0,0.0344826592572688,0.0,0.0,0.0,0.0,11.6,2.78520691036324,2.396034629617757,True
129,0.0,0.9212180803052996,0.0,0.0,0.0,0.0,0.0,0.0,0.0787819196947005,0.0,0.0,0.0,13.6,2.7891333988833584,2.370660319815836,True
168,0.0,0.9334734273130448,0.0,0.0,0.0,0.0,0.0665265726869552,0.0,0.0,0.0,0.0,0.0,12.5,2.808161754343539,2.41466808567414,True
192,0.0,0.953787009155322,0.0,0.0,0.0,0.0,0.0,0.0,0.0462129908446781,0.0,0.0,0.0,8.0,2.789491657100709,2.402219611871508,True
194,0.0,0.9102196204827752,0.0897803795172248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.365,2.7913467056927583,2.395376281777596,True
