,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si
1,0.0,86.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,80.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,87.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
24,0.0,95.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
33,0.0,84.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,96.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0
50,0.0,91.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
57,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
64,0.0,82.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
97,0.0,91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,89.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,90.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
125,0.0,96.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
129,0.0,91.5,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0
168,0.0,87.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0
192,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
194,0.0,90.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,83.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,81.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,0.0,89.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
235,0.0,94.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
256,0.0,87.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,88.5,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0
274,0.0,88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,0.0,85.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,81.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,0.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
326,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
396,0.0,89.5,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0
403,0.0,88.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,0.0,82.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,0.0,87.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
427,0.0,93.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0
495,0.0,90.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0
508,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
674,0.0,88.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
677,0.0,86.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,0.0,84.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1809,0.0,83.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,0.0,89.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
