,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta
0,0.4,4.5,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.0,91.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,85.5,0.0,0.0,0.0,4.0,0.0,10.5,0.0,0.0,0.0
10,0.0,0.0,95.4,4.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
26,0.0,0.0,88.1,0.0,0.0,0.0,0.0,0.4,11.5,0.0,0.0,0.0
29,0.0,0.0,90.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
32,0.0,0.0,87.0,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,92.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
35,0.0,1.0,90.5,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,4.0,92.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,3.5,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
45,0.0,0.0,75.5,0.0,3.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0
48,0.9,0.0,93.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,70.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0
58,0.8,0.0,88.2,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
60,0.9,0.0,91.6,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,77.0,0.0,0.0,0.0,10.5,0.0,12.5,0.0,0.0,0.0
79,0.0,3.5,96.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,4.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
105,0.0,0.0,81.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
109,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,4.5,0.0
112,0.0,0.0,75.0,0.0,0.0,0.5,0.0,0.0,0.0,24.5,0.0,0.0
121,0.0,0.0,87.3,0.0,0.0,0.0,0.0,0.2,12.5,0.0,0.0,0.0
124,0.0,0.0,84.0,0.0,13.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,91.9,7.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
139,0.0,0.0,88.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,79.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,89.8,0.0,0.0,0.0,0.0,0.2,10.0,0.0,0.0,0.0
152,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,5.5,14.5,0.0,0.0
153,0.0,0.0,88.8,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
158,0.0,0.0,88.5,6.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,87.4,0.0,12.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0
176,0.0,2.5,86.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0
195,0.0,0.0,94.9,4.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
198,0.0,3.5,91.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
205,0.0,0.0,91.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
208,0.1,0.0,82.9,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,87.0,7.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
218,0.6,0.0,93.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0.0,0.0,73.7,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.8
229,0.0,2.5,94.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,0.0,1.0,92.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0
235,0.2,0.0,90.3,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0
240,0.0,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.5
249,0.0,0.0,86.2,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
252,0.0,0.0,88.5,0.0,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
253,0.0,4.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
257,0.0,0.0,86.5,8.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
267,0.5,0.0,90.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,3.5,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
274,0.0,0.0,83.0,0.0,13.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0
278,0.0,0.0,86.9,0.0,13.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
279,0.0,0.0,92.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
282,0.0,0.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.5
289,0.0,4.5,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
290,0.0,0.0,81.4,0.0,18.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0
291,0.0,0.0,90.5,0.0,1.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0
292,0.0,0.0,95.1,4.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
309,0.0,0.0,86.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
312,0.5,0.0,93.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.7,0.0,90.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0,0.0,73.5,0.0,0.0,0.0,0.0,0.0,3.0,23.5,0.0,0.0
319,0.0,0.0,92.5,4.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
335,0.0,0.0,86.5,8.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0
345,0.0,0.0,71.5,0.0,2.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0
346,0.0,0.0,88.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
353,0.0,3.0,92.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
355,0.0,4.5,88.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
369,0.8,0.0,87.2,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
370,0.3,0.0,93.2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,0.0,0.0,80.9,0.0,18.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0
385,0.0,0.0,92.6,6.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
392,0.0,0.0,73.5,0.0,1.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0
395,0.0,0.0,74.5,0.0,1.5,0.0,0.0,0.0,0.0,24.0,0.0,0.0
397,0.0,0.0,83.9,0.0,16.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
403,0.0,0.0,85.5,0.0,11.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
405,0.0,3.5,94.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,0.0,4.0,95.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
419,0.0,0.0,85.5,0.0,0.0,1.0,0.0,0.0,13.5,0.0,0.0,0.0
428,0.0,0.0,85.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0
440,0.0,0.0,83.2,0.0,16.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
451,0.0,0.0,91.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
452,0.0,0.0,91.2,8.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
454,0.0,0.0,91.5,5.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
455,0.0,4.0,89.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
462,0.0,0.0,87.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0
474,0.0,0.0,92.1,7.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
482,0.2,0.0,86.8,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,0.0,0.0,83.4,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1
503,0.0,0.0,91.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
505,0.0,0.0,76.5,0.0,17.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
513,0.0,2.5,90.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,0.0,0.0,86.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,3.0,0.0
523,0.0,0.0,92.8,6.5,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
526,0.0,0.0,90.5,5.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
534,0.0,0.0,80.5,0.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,0.0,0.0,94.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
539,0.0,0.0,88.2,0.0,0.0,0.0,0.0,0.3,11.5,0.0,0.0,0.0
550,0.0,0.0,84.0,0.0,15.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
551,0.0,0.0,94.2,5.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
552,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0
557,0.0,3.5,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
561,0.7,0.0,85.8,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,0.0,0.0,80.6,0.0,19.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
569,0.0,1.0,95.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,0.0,0.0,93.0,6.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,0.2,0.0,91.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,0.0,0.0,89.1,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.4
591,0.0,0.0,92.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
592,0.0,0.0,89.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
596,0.0,0.0,90.1,0.0,0.0,0.0,0.0,0.4,9.5,0.0,0.0,0.0
597,0.2,0.0,90.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,0.0,0.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
609,0.1,4.5,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.0,4.5,94.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
615,0.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
616,0.0,4.0,93.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
619,0.0,0.0,76.5,0.0,0.0,0.0,0.0,0.0,3.0,20.5,0.0,0.0
624,0.7,3.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,0.0,0.0,87.2,0.0,0.0,0.0,0.0,0.8,12.0,0.0,0.0,0.0
638,0.0,0.0,92.1,7.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
650,0.0,0.0,93.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
657,0.0,0.0,89.5,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,0.0,0.0,86.2,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.8
665,0.0,0.0,73.8,0.0,0.0,0.0,0.0,0.7,0.0,25.5,0.0,0.0
667,0.0,0.0,91.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
