0,X47,X173,X299,X316,X397,X424,X461,X550,X666,X682,X692,X730,X764
1,X1,X35,X109,X156,X190,X259,X350,X440,X494,X553,X665,X743,X767
2,X56,X218,X223,X380,X413,X494,X613,X656,X666,X689,X710,X717,X758
3,X56,X218,X223,X380,X413,X494,X613,X656,X666,X689,X710,X717,X758
4,X56,X59,X218,X223,X380,X413,X494,X613,X656,X666,X689,X749,X758
5,X56,X218,X223,X380,X413,X494,X613,X656,X666,X689,X710,X717,X758
6,X56,X218,X223,X380,X413,X494,X613,X656,X666,X689,X710,X717,X758
7,X79,X218,X223,X271,X317,X326,X386,X434,X485,X536,X577,X628,X642
8,X79,X218,X223,X380,X413,X494,X613,X656,X666,X689,X710,X717,X758
9,X56,X218,X223,X271,X380,X413,X494,X613,X656,X666,X689,X717,X758
10,X16,X37,X218,X223,X317,X380,X413,X494,X554,X613,X666,X743,X767
11,X79,X150,X218,X223,X347,X380,X494,X613,X656,X666,X689,X749,X758
12,X79,X218,X223,X347,X380,X413,X613,X656,X666,X689,X710,X717,X758
13,X79,X218,X223,X347,X380,X413,X613,X656,X666,X689,X710,X717,X758
14,X16,X218,X223,X347,X380,X413,X494,X613,X656,X689,X710,X717,X758
15,X45,X210,X218,X223,X380,X413,X494,X613,X656,X689,X710,X717,X758
16,X56,X218,X223,X347,X380,X413,X613,X656,X666,X688,X710,X717,X758
17,X35,X61,X146,X171,X211,X294,X494,X613,X656,X689,X710,X717,X758
18,X11,X48,X146,X171,X211,X294,X494,X613,X642,X656,X710,X717,X758
19,X16,X211,X304,X347,X380,X413,X494,X540,X554,X613,X666,X717,X758
20,X44,X56,X218,X223,X328,X362,X368,X404,X434,X485,X577,X697,X758
21,X16,X218,X223,X347,X380,X413,X494,X613,X656,X689,X710,X717,X758
22,X16,X24,X126,X218,X223,X380,X413,X613,X656,X666,X689,X710,X758
23,X41,X48,X218,X223,X380,X413,X494,X613,X656,X666,X689,X743,X758
24,X16,X218,X223,X328,X362,X368,X413,X434,X485,X536,X577,X697,X758
25,X16,X211,X288,X380,X413,X494,X613,X656,X666,X688,X710,X717,X758
26,X45,X218,X223,X328,X362,X368,X413,X434,X485,X536,X577,X697,X758
27,X45,X218,X223,X328,X362,X368,X413,X434,X485,X536,X577,X697,X758
28,X45,X218,X223,X328,X362,X368,X413,X434,X485,X536,X577,X697,X758
29,X16,X24,X126,X218,X223,X380,X413,X429,X613,X656,X666,X689,X758
30,X16,X218,X288,X291,X380,X413,X494,X613,X656,X666,X688,X743,X758
31,X16,X24,X126,X218,X223,X380,X413,X429,X613,X656,X666,X697,X758
32,X16,X24,X126,X218,X223,X380,X413,X429,X613,X656,X666,X697,X758
33,X16,X24,X126,X218,X223,X368,X413,X434,X485,X536,X577,X697,X758
34,X56,X218,X223,X328,X362,X368,X413,X434,X485,X536,X577,X697,X758
35,X16,X70,X109,X218,X223,X368,X413,X434,X485,X536,X577,X710,X758
36,X56,X218,X288,X291,X380,X413,X494,X613,X656,X666,X688,X743,X758
37,X16,X24,X126,X218,X223,X380,X413,X429,X613,X656,X666,X689,X743
38,X16,X24,X126,X218,X223,X368,X413,X434,X485,X536,X577,X697,X758
39,X56,X70,X109,X218,X223,X368,X413,X434,X485,X536,X577,X697,X758
40,X16,X35,X36,X111,X218,X223,X380,X413,X429,X656,X666,X697,X758
41,X29,X48,X211,X288,X347,X380,X413,X540,X656,X666,X688,X743,X758
42,X16,X24,X126,X218,X223,X380,X413,X429,X585,X656,X666,X689,X758
43,X16,X24,X58,X126,X218,X223,X380,X429,X585,X656,X666,X689,X758
44,X16,X35,X36,X111,X218,X223,X368,X413,X429,X613,X656,X666,X758
45,X16,X24,X126,X218,X223,X327,X413,X434,X485,X536,X577,X697,X758
46,X16,X24,X58,X126,X218,X223,X380,X429,X585,X656,X666,X743,X758
47,X45,X70,X109,X218,X223,X368,X413,X536,X577,X656,X666,X743,X758
48,X16,X24,X58,X126,X218,X223,X380,X413,X429,X656,X697,X712,X758
49,X16,X35,X218,X223,X368,X413,X510,X585,X602,X656,X666,X689,X758
50,X16,X24,X211,X288,X380,X413,X433,X581,X613,X656,X689,X743,X758
51,X16,X24,X58,X126,X218,X223,X380,X429,X585,X656,X666,X689,X758
52,X16,X24,X218,X223,X380,X413,X429,X540,X585,X656,X666,X689,X758
53,X16,X35,X36,X126,X218,X223,X368,X429,X585,X613,X656,X666,X758
54,X16,X24,X25,X58,X126,X218,X223,X239,X585,X613,X656,X666,X758
55,X16,X24,X58,X126,X218,X223,X368,X429,X585,X656,X689,X743,X758
56,X16,X24,X58,X72,X126,X218,X223,X368,X429,X585,X656,X689,X758
57,X16,X24,X126,X223,X306,X368,X413,X429,X536,X577,X643,X697,X758
58,X16,X24,X58,X126,X223,X227,X368,X429,X585,X656,X666,X689,X758
59,X16,X24,X58,X126,X218,X223,X368,X413,X510,X585,X656,X743,X758
60,X16,X24,X25,X58,X126,X218,X223,X239,X585,X656,X666,X689,X758
61,X16,X24,X218,X223,X380,X413,X429,X510,X585,X656,X666,X689,X758
62,X16,X24,X58,X126,X218,X223,X413,X429,X536,X577,X643,X697,X758
63,X16,X24,X58,X126,X218,X223,X429,X540,X585,X656,X666,X689,X758
64,X16,X24,X58,X126,X218,X223,X368,X413,X429,X577,X643,X697,X758
65,X29,X126,X151,X223,X306,X368,X413,X429,X517,X585,X656,X666,X758
66,X16,X24,X45,X126,X218,X223,X429,X540,X585,X656,X666,X697,X758
67,X16,X24,X58,X126,X158,X218,X223,X368,X536,X577,X643,X697,X758
68,X29,X45,X58,X126,X218,X223,X368,X413,X429,X577,X643,X697,X758
69,X16,X24,X58,X126,X218,X223,X429,X450,X536,X577,X643,X697,X758
70,X16,X24,X58,X126,X218,X223,X413,X429,X484,X585,X656,X666,X758
71,X24,X218,X223,X306,X368,X413,X429,X536,X585,X656,X666,X689,X758
72,X29,X126,X151,X223,X306,X368,X380,X429,X585,X656,X666,X689,X758
73,X16,X24,X58,X126,X218,X223,X239,X368,X510,X585,X643,X697,X758
74,X16,X24,X58,X126,X158,X218,X223,X368,X510,X585,X697,X751,X758
75,X29,X45,X58,X126,X218,X223,X429,X510,X577,X626,X643,X697,X758
76,X16,X24,X58,X126,X218,X223,X368,X413,X429,X585,X643,X697,X758
77,X16,X24,X58,X126,X218,X223,X429,X510,X577,X643,X697,X751,X758
78,X29,X45,X58,X126,X218,X223,X413,X429,X540,X585,X689,X701,X758
