0,X18,X36,X70,X130,X153,X229,X252,X295,X366,X468,X505,X634,X688
1,X66,X87,X92,X136,X195,X214,X248,X466,X680,X690,X713,X759,X762
2,X33,X88,X196,X198,X216,X294,X306,X374,X411,X489,X582,X595,X652
3,X33,X88,X196,X198,X216,X294,X306,X374,X411,X489,X582,X595,X652
4,X33,X88,X196,X198,X216,X294,X306,X374,X411,X489,X582,X595,X652
5,X33,X88,X196,X198,X216,X294,X306,X374,X411,X489,X582,X595,X652
6,X33,X88,X196,X198,X216,X294,X306,X374,X411,X489,X582,X595,X652
7,X7,X116,X147,X213,X234,X260,X304,X317,X327,X436,X507,X518,X543
8,X229,X254,X257,X269,X279,X294,X306,X374,X411,X489,X582,X595,X653
9,X229,X254,X257,X269,X279,X294,X306,X374,X411,X489,X582,X595,X653
10,X229,X254,X257,X269,X279,X294,X306,X346,X374,X489,X582,X595,X761
11,X7,X116,X147,X213,X234,X260,X304,X317,X327,X436,X507,X518,X543
12,X7,X46,X116,X147,X216,X294,X306,X374,X411,X489,X582,X595,X652
13,X46,X113,X116,X147,X216,X294,X306,X374,X411,X489,X582,X595,X652
14,X46,X113,X116,X147,X216,X294,X306,X374,X411,X489,X582,X595,X690
15,X46,X113,X116,X147,X216,X294,X306,X374,X411,X489,X582,X595,X690
16,X46,X113,X116,X147,X216,X294,X306,X374,X411,X489,X582,X595,X690
17,X33,X233,X269,X279,X294,X306,X362,X374,X411,X489,X582,X595,X690
18,X46,X113,X116,X147,X216,X294,X306,X374,X436,X582,X595,X671,X690
19,X46,X113,X116,X147,X216,X294,X306,X374,X411,X505,X582,X595,X652
20,X46,X113,X116,X147,X216,X294,X306,X374,X436,X582,X595,X671,X690
21,X46,X113,X116,X147,X216,X294,X306,X374,X489,X582,X595,X671,X690
22,X46,X113,X116,X147,X216,X294,X306,X374,X436,X582,X595,X671,X690
23,X46,X70,X113,X116,X147,X216,X260,X374,X489,X582,X595,X671,X690
24,X46,X70,X113,X116,X147,X216,X260,X374,X489,X582,X595,X671,X690
25,X46,X70,X113,X116,X147,X216,X260,X374,X489,X582,X595,X671,X690
26,X46,X70,X113,X116,X147,X216,X260,X374,X489,X582,X595,X671,X690
27,X113,X116,X147,X216,X292,X304,X317,X374,X411,X489,X582,X595,X652
28,X113,X116,X147,X216,X292,X304,X317,X374,X411,X489,X582,X595,X652
29,X33,X116,X147,X234,X260,X294,X306,X374,X436,X582,X595,X671,X690
30,X33,X116,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X690
31,X33,X116,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X690
32,X33,X116,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X690
33,X116,X147,X234,X260,X294,X306,X374,X489,X514,X582,X595,X671,X690
34,X116,X147,X234,X260,X294,X306,X374,X489,X514,X582,X595,X671,X690
35,X116,X147,X234,X260,X294,X306,X374,X489,X514,X582,X598,X671,X690
36,X116,X147,X234,X260,X294,X306,X374,X489,X514,X582,X598,X671,X690
37,X33,X147,X234,X260,X294,X306,X374,X489,X514,X582,X595,X671,X690
38,X116,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X685,X690
39,X33,X147,X234,X260,X294,X306,X374,X489,X514,X582,X598,X671,X690
40,X24,X116,X147,X234,X260,X294,X306,X374,X489,X514,X582,X671,X690
41,X116,X234,X260,X294,X306,X374,X489,X514,X582,X595,X624,X671,X690
42,X116,X234,X260,X294,X306,X374,X489,X514,X582,X595,X624,X671,X690
43,X33,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X685,X690
44,X147,X234,X260,X294,X306,X374,X489,X580,X582,X595,X671,X685,X690
45,X33,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X685,X690
46,X33,X147,X234,X260,X294,X306,X374,X489,X582,X595,X671,X685,X690
47,X33,X113,X116,X147,X294,X306,X374,X489,X582,X595,X671,X685,X690
48,X46,X113,X116,X147,X294,X306,X374,X489,X582,X595,X671,X685,X690
49,X116,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
50,X116,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
51,X116,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
52,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
53,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
54,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
55,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
56,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
57,X6,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
58,X6,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
59,X116,X147,X260,X294,X306,X374,X514,X582,X595,X671,X685,X690,X749
60,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
61,X33,X147,X260,X294,X306,X374,X489,X514,X582,X595,X671,X685,X690
