,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Hf,Mn,W,Si,Cu,Moeq,Bo,Md,fliter,YS,E,condition_type
3,0.864152543207931,0.03302483939568154,0.040433924319298334,0.06238869307708926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.040000000000001,2.816656095083334,2.416445668575908,True,1011.0,90.0,0
5,0.7994937538100453,0.02501015748988855,0.06124231540045716,0.11425377329960903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.870000000000001,2.8399557294170203,2.4372321580440763,True,1027.0,69.0,0
17,0.9439935706865007,0.03636561489761547,0.0,0.0,0.0,0.01964081441588378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35,2.7918980278324543,2.3949014495922585,True,1250.0,110.0,0
18,0.9340322678804331,0.03723705569329785,0.0,0.0,0.0,0.02873067642626912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2.7949947087135314,2.3943770085051126,True,1360.0,121.0,0
19,0.9009537548662936,0.0,0.0,0.0,0.026910244002149572,0.0,0.07213600113155687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02,2.796049634599825,2.4026040487813174,True,650.0,66.0,0
20,0.9529806697108233,0.0,0.0,0.0,0.0,0.0,0.04701933028917668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.8028362771689452,2.42414860547946,True,537.0,91.0,0
21,0.9461417103644545,0.0,0.0,0.0,0.0063940100846693205,0.0,0.04746427955087618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.505,2.799715985204462,2.421713638638894,True,511.0,89.0,0
22,0.9248255263697589,0.0,0.0,0.0,0.026323342681319032,0.0,0.04885113094892208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,2.789990424009627,2.4141241504484063,True,441.0,78.0,0
35,0.9299434964831632,0.04428289148154074,0.0,0.0,0.0,0.0,0.025773612035295913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,2.790880874169701,2.3690239109411286,True,936.0,83.0,0
37,0.7872263886007214,0.0,0.0,0.1871974760749942,0.01953417989186355,0.0,0.006041955432420849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,2.8395896447350495,2.432979707287642,True,130.0,46.0,0
39,0.7662820205950457,0.0,0.058366890100795384,0.11462039443211328,0.029901784081964217,0.0,0.0308289107900814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.530000000000001,2.835950389465495,2.4474296366867274,True,499.0,72.0,1
40,0.7966273203719786,0.0,0.05700078918263958,0.08706262230828243,0.029201920604257508,0.0,0.030107347532841836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,2.8271885160214274,2.447991706668217,True,566.0,56.0,1
41,0.8188392623320399,0.0,0.031134842288235667,0.09171350137457249,0.028711092776366045,0.0,0.029601301228785938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37,2.8210800164399017,2.4357042760721663,True,533.0,55.0,1
43,0.8166536139106515,0.0,0.0,0.1524478323308441,0.019089638022784138,0.0,0.011808915735720191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.680000000000001,2.8306517677085306,2.4311304624149246,True,361.0,53.1,0
