,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta
0,0.4,4.5,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.0,91.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.0,89.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7,0.0,91.8,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,89.3,0.0,0.0,0.0,10.0,0.7,0.0,0.0,0.0,0.0
5,0.0,0.0,85.5,0.0,0.0,0.0,4.0,0.0,10.5,0.0,0.0,0.0
6,0.0,0.0,86.0,4.5,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0
7,0.0,0.0,87.5,0.0,0.0,6.0,0.0,0.0,6.5,0.0,0.0,0.0
8,0.1,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
9,0.0,0.0,91.5,0.0,0.0,2.0,6.5,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,95.4,4.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
11,0.0,0.0,82.5,9.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,96.5,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0
13,0.4,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
14,0.0,0.0,89.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
15,0.0,2.5,97.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
16,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,0.0
17,0.8,0.0,86.7,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,88.5,0.0,4.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0
19,0.7,0.0,86.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
20,0.0,0.0,90.3,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
21,0.0,0.0,84.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,9.0,0.0
22,0.3,0.0,94.2,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
23,0.3,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
24,0.0,0.0,91.5,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9,0.0,78.6,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,88.1,0.0,0.0,0.0,0.0,0.4,11.5,0.0,0.0,0.0
27,0.9,0.0,98.8,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
28,0.0,0.0,96.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,90.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
30,0.0,4.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
31,0.0,0.0,68.5,0.0,0.0,0.0,0.0,0.0,5.5,26.0,0.0,0.0
32,0.0,0.0,87.0,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,98.6,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7
34,0.0,0.0,92.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
35,0.0,1.0,90.5,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.5,98.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
37,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0
38,0.9,0.0,97.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0
39,0.0,4.0,92.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,73.0,0.0,18.5,0.0,0.0,0.0,8.5,0.0,0.0,0.0
41,0.0,0.0,87.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0
42,0.0,3.5,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
43,0.0,0.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3
44,0.8,0.0,98.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
45,0.0,0.0,75.5,0.0,3.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0
46,0.0,0.0,93.8,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.7
47,0.4,0.0,98.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,0.9,0.0,93.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,72.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
50,0.0,1.5,87.5,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
51,0.0,0.0,71.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,0.0,0.0
52,0.0,0.0,70.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0
53,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.5,0.0
54,0.0,0.0,92.0,1.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
55,0.6,0.0,98.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
56,0.0,0.0,95.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9
57,0.0,2.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.8,0.0,88.2,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
59,0.0,0.0,94.5,0.0,0.0,2.0,0.0,0.0,3.5,0.0,0.0,0.0
60,0.9,0.0,91.6,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.9,0.0,77.6,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0
62,0.0,0.0,77.0,0.0,0.0,0.0,10.5,0.0,12.5,0.0,0.0,0.0
63,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
64,0.0,4.5,76.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0
65,0.0,0.0,84.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,10.5,0.0
66,0.0,4.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0
67,0.0,0.0,97.7,0.0,0.0,0.0,2.0,0.3,0.0,0.0,0.0,0.0
68,0.0,0.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0
69,0.0,2.5,89.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,8.5,0.0
71,0.0,0.0,71.5,0.0,14.5,0.0,0.0,0.0,14.0,0.0,0.0,0.0
72,0.0,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.2
73,0.0,0.5,93.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0
74,0.0,3.5,91.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
75,0.0,0.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
76,0.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,92.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
78,0.1,0.0,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
79,0.0,3.5,96.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,69.0,0.0,0.0,4.5,0.0,0.0,0.0,26.5,0.0,0.0
81,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0
82,0.0,0.0,96.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
83,0.0,2.0,95.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,82.5,0.0,0.0,0.0,5.5,0.0,0.0,12.0,0.0,0.0
85,0.0,4.5,76.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,95.0,0.0,0.0,3.5,0.0,0.0,1.5,0.0,0.0,0.0
87,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.5,0.0
88,0.0,0.0,86.0,0.0,7.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0
89,0.0,0.0,87.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,87.0,2.5,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0
91,0.0,0.0,98.4,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.1
92,0.0,0.0,82.0,0.0,0.0,2.5,0.0,0.0,0.0,15.5,0.0,0.0
93,0.9,0.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0
94,0.0,4.0,93.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,82.5,5.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,82.4,0.0,0.0,0.0,0.0,0.6,0.0,17.0,0.0,0.0
97,0.0,0.0,98.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
98,0.0,0.0,96.6,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.9
99,0.0,0.0,75.0,9.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.7,2.5,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,1.5,96.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.6,0.0,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
103,0.0,0.0,92.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.5
104,0.0,4.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
105,0.0,0.0,81.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
106,0.0,0.0,99.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5
107,0.0,4.0,85.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
108,0.0,0.0,78.5,0.0,19.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
109,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,4.5,0.0
110,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0.2,0.0,21.0,0.0,0.0
111,0.3,0.0,88.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
112,0.0,0.0,75.0,0.0,0.0,0.5,0.0,0.0,0.0,24.5,0.0,0.0
113,0.9,0.0,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
114,0.0,1.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
115,0.0,0.0,92.0,0.0,6.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0
116,0.0,0.0,93.8,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2
117,0.2,2.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,2.5,97.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
119,0.0,0.0,99.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1
120,0.0,0.0,92.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,87.3,0.0,0.0,0.0,0.0,0.2,12.5,0.0,0.0,0.0
122,0.0,0.0,83.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.5,0.0
123,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5
124,0.0,0.0,84.0,0.0,13.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,88.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
126,0.0,0.0,98.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0
