0,X35,X43,X95,X107,X112,X289,X292,X309,X326,X410,X464,X593,X634
1,X15,X40,X70,X102,X118,X147,X351,X395,X422,X436,X568,X577,X678
2,X15,X40,X70,X102,X118,X147,X351,X395,X422,X436,X568,X577,X678
3,X128,X136,X144,X229,X283,X316,X477,X506,X540,X627,X712,X730,X744
4,X25,X68,X106,X169,X231,X274,X278,X290,X315,X457,X471,X722,X758
5,X25,X68,X106,X169,X231,X274,X278,X290,X315,X457,X471,X722,X758
6,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X553,X722
7,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X553,X722
8,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X500,X722,X758
9,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X595,X722
10,X128,X136,X144,X169,X231,X274,X278,X290,X315,X400,X500,X595,X733
11,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X500,X736
12,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X500,X758
13,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X722,X758
14,X25,X55,X106,X169,X231,X274,X278,X290,X315,X369,X471,X547,X737
15,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X722,X758
16,X25,X68,X106,X169,X231,X274,X278,X290,X315,X400,X471,X722,X758
17,X38,X55,X110,X164,X231,X274,X278,X290,X315,X457,X501,X722,X758
18,X38,X55,X110,X164,X231,X274,X278,X290,X315,X400,X471,X553,X733
19,X48,X68,X95,X106,X198,X231,X274,X278,X290,X315,X500,X722,X758
20,X48,X68,X95,X106,X198,X231,X274,X278,X290,X315,X500,X722,X758
21,X25,X68,X106,X169,X198,X231,X274,X278,X290,X315,X500,X722,X758
22,X48,X68,X95,X106,X198,X231,X274,X278,X290,X315,X500,X722,X758
23,X25,X80,X110,X169,X198,X231,X274,X278,X290,X315,X500,X553,X733
24,X25,X80,X110,X169,X198,X231,X274,X278,X290,X315,X500,X553,X733
25,X25,X55,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
26,X25,X55,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
27,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
28,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
29,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
30,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
31,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
32,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
33,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
34,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
35,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
36,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
37,X25,X68,X110,X164,X198,X231,X274,X278,X290,X315,X393,X553,X733
38,X25,X55,X106,X164,X231,X278,X290,X315,X374,X400,X500,X722,X733
39,X25,X55,X106,X164,X231,X278,X290,X315,X374,X400,X500,X722,X758
40,X25,X55,X106,X164,X231,X278,X290,X315,X374,X400,X500,X722,X758
41,X25,X55,X106,X164,X231,X278,X290,X315,X374,X400,X500,X722,X758
42,X25,X55,X95,X106,X231,X274,X278,X290,X315,X457,X500,X722,X758
43,X25,X55,X95,X106,X231,X274,X278,X290,X315,X457,X500,X722,X758
44,X25,X67,X95,X106,X198,X231,X274,X278,X290,X457,X500,X722,X758
45,X25,X67,X95,X106,X198,X231,X274,X278,X290,X457,X500,X722,X758
46,X25,X67,X95,X106,X198,X231,X274,X278,X290,X457,X500,X722,X758
47,X25,X67,X95,X106,X198,X231,X274,X278,X290,X393,X500,X722,X758
48,X25,X67,X95,X106,X198,X231,X274,X278,X290,X457,X500,X722,X758
49,X25,X67,X95,X106,X198,X231,X274,X278,X290,X457,X500,X722,X758
50,X25,X67,X95,X106,X198,X231,X274,X278,X290,X457,X500,X722,X758
