0,X13,X111,X191,X415,X454,X457,X499,X545,X552,X556,X564,X694,X723
1,X15,X53,X195,X223,X335,X376,X410,X429,X499,X551,X637,X642,X699
2,X35,X119,X213,X251,X264,X277,X288,X321,X599,X636,X645,X675,X715
3,X35,X119,X213,X251,X264,X288,X321,X410,X599,X636,X645,X675,X715
4,X22,X81,X107,X113,X168,X229,X288,X310,X417,X437,X490,X711,X723
5,X113,X157,X176,X225,X294,X310,X367,X410,X599,X636,X645,X675,X715
6,X35,X119,X213,X251,X264,X288,X321,X369,X417,X437,X490,X711,X723
7,X113,X157,X176,X225,X294,X310,X367,X410,X599,X636,X645,X675,X735
8,X37,X128,X248,X319,X328,X363,X418,X517,X646,X740,X746,X747,X762
9,X119,X157,X176,X225,X294,X310,X367,X410,X599,X636,X645,X675,X715
10,X35,X176,X225,X336,X458,X471,X510,X528,X549,X696,X717,X721,X728
11,X113,X157,X176,X225,X294,X310,X367,X410,X599,X636,X645,X675,X715
12,X49,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X728
13,X26,X176,X222,X244,X248,X263,X307,X405,X498,X696,X717,X721,X728
14,X11,X110,X132,X173,X220,X233,X288,X310,X599,X696,X717,X721,X726
15,X49,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X728
16,X113,X128,X248,X319,X401,X478,X480,X517,X646,X696,X717,X721,X766
17,X113,X128,X248,X319,X401,X478,X480,X517,X646,X696,X717,X721,X766
18,X26,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X766
19,X26,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X766
20,X49,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X766
21,X49,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X766
22,X49,X218,X236,X263,X307,X434,X477,X478,X498,X696,X717,X721,X766
23,X113,X213,X219,X256,X263,X307,X434,X478,X498,X653,X696,X698,X717
24,X113,X218,X236,X263,X307,X434,X478,X498,X646,X696,X717,X721,X766
25,X113,X218,X236,X263,X307,X434,X478,X498,X646,X696,X717,X721,X766
26,X113,X213,X232,X263,X307,X434,X478,X498,X653,X696,X717,X721,X766
27,X113,X213,X232,X263,X307,X434,X478,X498,X653,X696,X717,X721,X766
28,X113,X213,X232,X263,X307,X434,X478,X498,X653,X696,X717,X721,X766
29,X17,X113,X244,X248,X263,X308,X336,X362,X369,X494,X696,X717,X721
30,X113,X213,X219,X263,X274,X401,X418,X478,X480,X549,X696,X721,X728
31,X11,X205,X213,X219,X263,X401,X418,X478,X480,X549,X696,X721,X728
32,X11,X205,X213,X219,X263,X401,X418,X478,X480,X549,X696,X721,X728
33,X11,X205,X213,X219,X263,X401,X418,X478,X480,X549,X696,X721,X728
34,X11,X205,X213,X219,X263,X401,X418,X478,X480,X549,X696,X721,X728
35,X113,X164,X213,X232,X263,X401,X418,X478,X480,X549,X696,X721,X728
36,X113,X213,X232,X263,X307,X401,X418,X478,X480,X549,X696,X721,X728
37,X113,X213,X232,X263,X307,X401,X418,X478,X480,X549,X696,X721,X728
38,X113,X213,X232,X263,X307,X401,X418,X478,X480,X549,X696,X721,X728
39,X113,X213,X232,X263,X307,X401,X418,X478,X480,X549,X696,X717,X728
40,X113,X213,X232,X263,X307,X401,X418,X478,X480,X549,X696,X717,X728
41,X113,X213,X232,X263,X307,X401,X418,X478,X480,X549,X696,X717,X728
42,X113,X213,X232,X263,X344,X401,X418,X478,X480,X549,X696,X721,X728
43,X113,X213,X232,X263,X344,X401,X418,X478,X480,X549,X696,X721,X728
44,X113,X213,X232,X263,X344,X401,X418,X478,X480,X549,X696,X721,X728
45,X113,X213,X232,X263,X344,X401,X418,X478,X480,X549,X696,X721,X728
46,X113,X213,X232,X263,X344,X401,X418,X478,X480,X549,X696,X717,X728
47,X11,X166,X232,X294,X310,X401,X418,X478,X480,X549,X696,X721,X728
48,X113,X213,X232,X294,X310,X401,X418,X478,X480,X549,X696,X721,X728
49,X113,X213,X232,X294,X310,X401,X418,X478,X480,X549,X696,X721,X728
50,X113,X213,X232,X263,X289,X401,X418,X478,X532,X549,X696,X717,X728
51,X113,X213,X232,X263,X289,X401,X418,X478,X532,X549,X696,X717,X728
52,X113,X213,X232,X263,X289,X401,X418,X478,X532,X549,X696,X717,X728
53,X113,X213,X232,X263,X289,X401,X418,X478,X532,X549,X696,X717,X728
54,X11,X219,X263,X289,X401,X418,X478,X480,X549,X580,X696,X721,X728
55,X113,X213,X232,X263,X289,X401,X418,X478,X532,X549,X696,X717,X728
56,X59,X113,X128,X244,X401,X418,X478,X480,X549,X580,X696,X721,X728
57,X11,X166,X219,X263,X401,X418,X478,X480,X549,X580,X696,X721,X728
58,X11,X166,X219,X310,X401,X418,X449,X478,X532,X549,X696,X717,X728
