0,X43,X76,X114,X116,X165,X336,X337,X371,X419,X497,X512,X540,X762
1,X15,X47,X96,X163,X270,X272,X281,X404,X408,X506,X514,X536,X757
2,X5,X29,X102,X103,X218,X271,X278,X358,X436,X461,X596,X727,X755
3,X11,X39,X96,X163,X413,X469,X497,X499,X514,X527,X667,X689,X735
4,X127,X129,X200,X206,X316,X335,X393,X497,X499,X514,X667,X689,X735
5,X5,X29,X102,X103,X221,X271,X278,X358,X436,X461,X596,X727,X755
6,X5,X29,X102,X103,X163,X270,X393,X497,X499,X514,X667,X689,X735
7,X5,X139,X162,X174,X413,X469,X497,X499,X514,X527,X667,X689,X735
8,X59,X102,X158,X270,X361,X409,X418,X497,X499,X514,X596,X727,X755
9,X5,X29,X102,X103,X413,X469,X497,X499,X514,X527,X667,X689,X735
10,X5,X29,X102,X103,X413,X469,X497,X499,X514,X527,X667,X689,X735
11,X5,X35,X102,X103,X261,X377,X481,X497,X499,X514,X681,X688,X694
12,X5,X29,X102,X103,X413,X469,X497,X499,X514,X527,X667,X689,X735
13,X5,X29,X163,X311,X413,X469,X497,X499,X514,X527,X596,X727,X755
14,X5,X139,X162,X174,X413,X497,X499,X503,X514,X527,X667,X689,X735
15,X5,X39,X102,X103,X261,X469,X497,X499,X514,X527,X667,X689,X735
16,X5,X39,X102,X103,X261,X469,X497,X499,X514,X527,X667,X689,X735
17,X5,X35,X158,X270,X413,X497,X499,X514,X567,X681,X720,X740,X759
18,X5,X35,X163,X311,X413,X469,X497,X499,X514,X527,X596,X727,X755
19,X5,X35,X163,X311,X413,X469,X497,X499,X514,X527,X667,X727,X755
20,X5,X35,X163,X311,X413,X469,X497,X499,X514,X527,X667,X727,X755
21,X5,X29,X102,X163,X413,X469,X497,X499,X514,X527,X546,X667,X727
22,X5,X35,X102,X163,X413,X469,X497,X499,X514,X527,X546,X727,X755
23,X5,X29,X163,X311,X329,X413,X469,X497,X499,X514,X527,X727,X755
24,X5,X29,X163,X311,X372,X469,X497,X499,X514,X527,X546,X727,X755
25,X5,X29,X102,X163,X329,X413,X469,X497,X499,X514,X527,X727,X755
26,X5,X29,X163,X311,X372,X469,X497,X499,X514,X527,X546,X667,X735
27,X5,X29,X77,X103,X116,X163,X221,X353,X497,X514,X667,X689,X727
28,X5,X29,X77,X103,X116,X163,X221,X353,X497,X514,X667,X689,X727
29,X5,X35,X102,X163,X261,X377,X393,X497,X499,X514,X596,X689,X735
30,X5,X29,X158,X261,X270,X393,X497,X499,X514,X527,X667,X689,X727
31,X5,X29,X158,X261,X270,X393,X497,X499,X514,X527,X667,X689,X727
32,X5,X29,X158,X261,X270,X393,X497,X499,X514,X527,X667,X689,X727
