0,X15,X30,X37,X103,X122,X263,X286,X553,X567,X591,X617,X624,X714
1,X15,X30,X37,X103,X122,X263,X286,X427,X553,X567,X591,X617,X624
2,X29,X96,X194,X200,X204,X389,X522,X545,X568,X690,X740,X749,X757
3,X22,X40,X194,X200,X204,X241,X284,X295,X331,X417,X456,X658,X758
4,X40,X194,X200,X204,X389,X522,X545,X568,X612,X634,X678,X683,X723
5,X22,X40,X194,X200,X204,X257,X545,X617,X641,X657,X680,X740,X757
6,X15,X37,X103,X122,X263,X286,X545,X617,X641,X657,X680,X740,X757
7,X29,X96,X200,X204,X263,X286,X545,X617,X641,X657,X680,X740,X757
8,X29,X96,X200,X204,X263,X286,X545,X617,X641,X657,X680,X740,X757
9,X29,X96,X200,X204,X263,X286,X545,X617,X641,X657,X680,X740,X757
10,X12,X15,X194,X200,X204,X263,X286,X427,X553,X567,X591,X723,X759
11,X29,X40,X194,X200,X204,X263,X286,X555,X641,X657,X680,X722,X757
12,X12,X15,X194,X200,X204,X263,X286,X427,X568,X628,X690,X740,X757
13,X12,X15,X172,X194,X200,X263,X286,X427,X568,X628,X690,X740,X757
14,X12,X15,X194,X200,X204,X263,X286,X478,X495,X505,X658,X662,X758
15,X12,X15,X194,X200,X204,X263,X286,X478,X495,X505,X658,X662,X758
16,X12,X15,X200,X204,X263,X286,X415,X453,X460,X473,X525,X600,X723
17,X12,X15,X200,X204,X263,X328,X545,X617,X641,X657,X680,X740,X757
18,X12,X15,X200,X204,X246,X263,X286,X427,X568,X628,X690,X740,X757
19,X12,X15,X200,X204,X246,X263,X286,X427,X568,X628,X690,X740,X757
20,X12,X15,X172,X194,X200,X204,X263,X286,X427,X568,X628,X740,X757
21,X12,X15,X172,X194,X200,X204,X263,X286,X427,X568,X628,X740,X757
22,X12,X15,X172,X194,X200,X204,X263,X286,X427,X568,X628,X740,X757
23,X12,X15,X172,X194,X200,X204,X263,X286,X427,X568,X628,X740,X757
24,X15,X114,X172,X194,X200,X263,X286,X427,X472,X568,X591,X740,X757
25,X12,X15,X172,X194,X200,X204,X263,X286,X427,X568,X628,X740,X757
26,X12,X15,X172,X194,X200,X204,X263,X286,X427,X568,X628,X740,X757
27,X12,X15,X194,X200,X263,X286,X415,X478,X495,X591,X700,X740,X757
