0,X24,X58,X96,X115,X169,X207,X211,X468,X525,X545,X580,X698,X767
1,X9,X63,X220,X257,X306,X391,X396,X400,X418,X570,X638,X656,X722
2,X117,X264,X278,X279,X376,X386,X400,X428,X607,X618,X622,X625,X654
3,X9,X63,X220,X257,X306,X391,X396,X400,X418,X570,X665,X696,X717
4,X49,X283,X322,X339,X378,X384,X422,X591,X609,X626,X673,X680,X742
5,X49,X86,X141,X145,X151,X167,X200,X291,X293,X343,X485,X723,X747
6,X23,X149,X166,X168,X184,X197,X212,X281,X305,X352,X578,X702,X767
7,X23,X149,X166,X168,X184,X197,X212,X281,X305,X352,X578,X702,X767
8,X20,X26,X104,X143,X277,X364,X367,X433,X471,X491,X578,X667,X702
9,X88,X122,X141,X145,X149,X151,X167,X200,X281,X305,X352,X578,X743
10,X117,X212,X264,X278,X279,X401,X421,X433,X471,X491,X578,X746,X751
11,X88,X122,X212,X264,X278,X279,X364,X428,X607,X618,X622,X625,X654
12,X26,X76,X212,X264,X278,X279,X364,X428,X607,X618,X622,X625,X654
13,X88,X122,X171,X174,X183,X222,X407,X591,X609,X626,X673,X680,X742
14,X88,X122,X171,X174,X183,X222,X407,X591,X609,X626,X673,X680,X742
15,X88,X122,X171,X174,X183,X222,X277,X279,X297,X416,X436,X746,X751
16,X88,X122,X171,X183,X222,X244,X303,X312,X421,X457,X578,X618,X716
17,X88,X122,X171,X176,X183,X222,X244,X303,X312,X421,X457,X578,X716
18,X88,X122,X171,X174,X183,X222,X303,X312,X421,X457,X578,X618,X742
19,X79,X88,X122,X176,X183,X222,X244,X303,X312,X421,X457,X578,X716
20,X79,X88,X122,X176,X183,X222,X244,X312,X421,X457,X474,X578,X716
21,X79,X88,X122,X176,X183,X222,X303,X312,X421,X457,X468,X578,X716
22,X88,X122,X171,X183,X194,X222,X303,X312,X421,X457,X673,X680,X742
23,X79,X88,X122,X176,X183,X222,X244,X312,X421,X457,X474,X725,X742
24,X79,X88,X122,X176,X183,X222,X244,X312,X421,X457,X474,X725,X742
25,X79,X88,X122,X176,X183,X222,X244,X312,X421,X457,X474,X725,X742
26,X110,X117,X171,X183,X194,X222,X303,X312,X457,X479,X578,X658,X742
27,X110,X117,X171,X183,X194,X222,X303,X312,X457,X479,X578,X658,X742
28,X110,X117,X171,X183,X194,X222,X303,X312,X457,X479,X578,X658,X742
29,X110,X117,X171,X183,X194,X222,X303,X312,X457,X479,X578,X658,X742
30,X88,X122,X171,X183,X194,X222,X303,X312,X457,X479,X578,X658,X742
31,X88,X122,X171,X183,X194,X222,X303,X312,X457,X479,X578,X658,X742
32,X39,X53,X57,X88,X122,X183,X222,X303,X312,X457,X578,X618,X654
33,X21,X110,X117,X171,X183,X194,X222,X312,X457,X578,X618,X656,X716
34,X21,X110,X117,X171,X183,X194,X222,X312,X457,X479,X578,X658,X742
35,X58,X110,X117,X171,X183,X194,X303,X312,X457,X479,X578,X721,X743
36,X58,X110,X117,X171,X183,X194,X312,X457,X479,X578,X658,X662,X742
37,X58,X110,X117,X171,X183,X194,X312,X389,X457,X479,X578,X719,X742
38,X58,X110,X117,X171,X183,X194,X312,X389,X457,X479,X578,X719,X742
39,X58,X117,X171,X183,X194,X312,X389,X457,X479,X496,X578,X658,X742
40,X58,X117,X171,X183,X194,X312,X389,X457,X479,X496,X578,X658,X742
41,X110,X117,X171,X183,X194,X222,X312,X457,X479,X578,X705,X719,X742
42,X50,X110,X117,X171,X183,X194,X303,X312,X457,X479,X578,X658,X742
43,X50,X110,X117,X171,X183,X194,X303,X312,X457,X479,X658,X662,X742
44,X79,X88,X122,X176,X183,X194,X303,X312,X457,X604,X658,X662,X742
45,X39,X110,X117,X171,X183,X194,X303,X312,X457,X479,X658,X662,X742
46,X79,X88,X117,X171,X183,X194,X303,X312,X457,X479,X658,X662,X742
47,X79,X88,X122,X176,X183,X194,X303,X421,X457,X658,X662,X710,X742
48,X79,X88,X122,X176,X183,X194,X303,X421,X457,X658,X662,X710,X742
49,X79,X88,X122,X176,X183,X194,X303,X421,X457,X658,X662,X710,X742
50,X110,X117,X171,X183,X194,X303,X312,X457,X479,X578,X618,X656,X742
51,X79,X88,X122,X144,X176,X183,X194,X303,X312,X457,X658,X662,X742
52,X79,X88,X122,X144,X183,X194,X303,X312,X457,X576,X658,X662,X742
53,X79,X88,X122,X144,X183,X194,X303,X312,X457,X576,X658,X662,X742
54,X21,X122,X171,X183,X194,X303,X312,X320,X457,X576,X658,X662,X742
55,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
56,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
57,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
58,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
59,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
60,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
61,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
62,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
63,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
64,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X618,X656,X742
65,X21,X122,X171,X176,X183,X194,X303,X311,X312,X457,X658,X662,X742
66,X79,X88,X122,X144,X176,X183,X194,X312,X457,X518,X658,X662,X742
67,X110,X117,X171,X183,X194,X303,X312,X457,X479,X527,X658,X662,X742
68,X29,X56,X88,X122,X171,X183,X194,X303,X312,X457,X479,X662,X742
69,X29,X56,X88,X122,X171,X183,X194,X303,X312,X457,X479,X662,X742
70,X29,X56,X88,X122,X171,X183,X194,X303,X312,X457,X479,X662,X742
71,X88,X122,X171,X183,X194,X303,X312,X457,X518,X561,X662,X705,X742
72,X74,X79,X88,X122,X144,X183,X194,X312,X457,X501,X658,X662,X742
