0,X67,X217,X245,X295,X312,X445,X496,X543,X592,X659,X723,X735,X746
1,X23,X29,X38,X107,X151,X206,X333,X419,X485,X549,X582,X626,X722
2,X4,X24,X48,X119,X183,X224,X418,X594,X605,X625,X659,X722,X743
3,X4,X24,X48,X119,X183,X224,X418,X594,X605,X625,X659,X722,X743
4,X4,X24,X48,X119,X183,X224,X418,X594,X605,X625,X659,X722,X743
5,X4,X24,X48,X119,X183,X224,X386,X404,X594,X625,X659,X722,X743
6,X4,X24,X48,X119,X183,X224,X386,X404,X594,X625,X659,X722,X743
7,X4,X24,X48,X119,X183,X224,X418,X594,X605,X625,X659,X722,X743
8,X4,X24,X48,X119,X176,X183,X224,X594,X605,X625,X659,X722,X743
9,X4,X24,X48,X119,X176,X183,X224,X594,X605,X625,X659,X722,X743
10,X4,X24,X48,X119,X176,X183,X224,X594,X605,X625,X659,X722,X743
11,X4,X24,X48,X119,X176,X183,X224,X594,X605,X625,X659,X722,X743
12,X4,X24,X48,X119,X176,X183,X224,X594,X605,X625,X659,X722,X743
13,X41,X46,X52,X61,X102,X224,X333,X393,X434,X444,X585,X674,X698
14,X41,X46,X52,X61,X224,X326,X347,X393,X434,X444,X585,X674,X698
15,X69,X81,X119,X183,X239,X275,X301,X326,X367,X459,X585,X702,X722
16,X4,X24,X48,X119,X176,X183,X302,X594,X605,X625,X659,X722,X743
17,X4,X24,X48,X119,X176,X183,X302,X594,X605,X625,X659,X722,X743
18,X4,X24,X48,X119,X176,X183,X224,X333,X414,X459,X480,X600,X754
19,X23,X29,X38,X183,X185,X224,X393,X434,X444,X488,X585,X674,X738
20,X4,X24,X48,X119,X176,X183,X224,X333,X414,X459,X480,X659,X722
21,X4,X24,X48,X119,X183,X185,X224,X333,X414,X459,X480,X659,X722
22,X4,X24,X48,X119,X183,X185,X224,X333,X414,X459,X480,X659,X722
23,X41,X46,X55,X119,X183,X206,X224,X333,X414,X459,X480,X702,X738
24,X41,X46,X55,X119,X183,X206,X224,X333,X414,X459,X480,X702,X738
25,X4,X24,X48,X119,X183,X185,X224,X333,X414,X459,X480,X659,X722
26,X23,X29,X38,X183,X185,X224,X322,X434,X507,X585,X628,X702,X738
27,X23,X29,X38,X183,X185,X224,X322,X434,X507,X585,X628,X702,X738
28,X23,X29,X38,X183,X185,X224,X322,X434,X507,X585,X628,X702,X722
29,X41,X48,X58,X119,X183,X206,X224,X333,X414,X459,X480,X659,X722
30,X41,X48,X119,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
31,X23,X29,X48,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
32,X23,X29,X48,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
33,X23,X29,X48,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
34,X41,X48,X119,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
35,X4,X24,X48,X183,X185,X188,X224,X333,X414,X459,X480,X659,X674
36,X23,X29,X55,X183,X185,X188,X224,X302,X333,X414,X422,X459,X738
37,X23,X29,X55,X183,X185,X188,X224,X302,X333,X414,X422,X459,X738
38,X41,X48,X119,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
39,X41,X48,X119,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
40,X23,X29,X48,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
41,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
42,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
43,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
44,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
45,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
46,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
47,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
48,X23,X29,X54,X55,X183,X206,X302,X333,X414,X422,X459,X517,X520
49,X23,X29,X54,X55,X183,X206,X302,X333,X414,X422,X459,X517,X520
50,X41,X46,X55,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
51,X41,X48,X183,X224,X377,X434,X507,X585,X613,X628,X674,X702,X738
52,X41,X48,X183,X224,X377,X434,X507,X585,X613,X628,X674,X702,X738
53,X41,X55,X183,X224,X377,X434,X507,X585,X628,X674,X677,X702,X738
54,X41,X48,X183,X224,X377,X434,X507,X585,X613,X628,X674,X702,X738
55,X41,X48,X183,X224,X377,X434,X507,X585,X613,X628,X674,X702,X738
56,X41,X48,X183,X224,X377,X405,X434,X507,X585,X628,X674,X702,X738
57,X41,X48,X183,X224,X377,X434,X507,X585,X613,X628,X674,X702,X738
58,X23,X29,X54,X55,X126,X183,X206,X302,X333,X414,X422,X459,X517
59,X41,X48,X183,X205,X224,X434,X507,X585,X613,X628,X674,X702,X738
60,X41,X48,X183,X205,X224,X434,X507,X585,X613,X628,X674,X702,X738
61,X41,X48,X183,X205,X224,X432,X434,X507,X585,X628,X674,X702,X738
62,X41,X48,X183,X205,X224,X432,X434,X507,X585,X628,X674,X702,X738
63,X41,X183,X224,X377,X434,X477,X507,X585,X628,X674,X677,X702,X738
64,X41,X48,X183,X198,X224,X434,X507,X585,X613,X628,X674,X702,X738
65,X41,X183,X224,X377,X434,X477,X507,X585,X613,X628,X674,X702,X738
66,X41,X183,X224,X377,X434,X477,X507,X585,X613,X628,X674,X702,X738
67,X41,X183,X224,X377,X434,X477,X507,X585,X613,X628,X674,X702,X738
68,X41,X48,X183,X224,X311,X434,X507,X585,X613,X628,X674,X702,X738
69,X41,X48,X183,X377,X434,X507,X585,X613,X628,X674,X702,X711,X738
70,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
71,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
72,X41,X48,X183,X224,X377,X434,X507,X585,X628,X674,X702,X711,X738
73,X41,X183,X224,X333,X377,X434,X507,X585,X613,X628,X674,X702,X738
74,X41,X183,X224,X333,X377,X434,X507,X585,X613,X674,X691,X702,X738
75,X41,X183,X224,X333,X377,X434,X507,X585,X613,X674,X691,X702,X738
76,X41,X183,X224,X333,X377,X434,X507,X585,X613,X674,X691,X702,X738
77,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
78,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
79,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
80,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
81,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
82,X22,X41,X104,X183,X224,X434,X507,X585,X612,X628,X674,X702,X738
83,X22,X41,X104,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
84,X22,X41,X104,X183,X224,X434,X507,X585,X628,X674,X677,X702,X738
85,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
86,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
87,X41,X183,X224,X333,X377,X434,X478,X507,X585,X628,X674,X702,X738
88,X41,X96,X183,X377,X434,X458,X507,X585,X628,X674,X677,X702,X738
89,X41,X183,X224,X333,X377,X434,X478,X507,X585,X628,X674,X702,X738
90,X41,X183,X224,X245,X333,X377,X434,X507,X585,X628,X674,X702,X738
91,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
92,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
93,X41,X183,X224,X252,X333,X377,X434,X507,X585,X628,X674,X702,X738
94,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
95,X41,X183,X224,X333,X377,X434,X507,X585,X628,X674,X677,X702,X738
96,X41,X183,X224,X239,X333,X377,X434,X507,X585,X628,X674,X702,X738
