,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si,Moeq,Bo,Md,fliter
84,0.0,0.9611232592559704,0.0,0.0,0.0,0.0,0.0388767407440295,0.0,0.0,0.0,0.0,0.0,7.5,2.80061335022312,2.428105903998402,False
99,0.0,0.9741751109509356,0.0,0.0,0.0,0.0,0.0,0.0258248890490644,0.0,0.0,0.0,0.0,8.7,2.7864103404221803,2.408830813985483,False
127,0.0,0.9664813548088892,0.0,0.0,0.0,0.0,0.0335186451911106,0.0,0.0,0.0,0.0,0.0,6.5,2.799150590137173,2.43070993843712,False
150,0.0,0.9584232323337606,0.0,0.0,0.0,0.0,0.0415767676662393,0.0,0.0,0.0,0.0,0.0,8.0,2.801350457572883,2.426793690914208,False
162,0.0,0.963809263763068,0.0,0.0,0.0,0.0,0.036190736236932,0.0,0.0,0.0,0.0,0.0,7.0,2.7998800709926823,2.429411302188851,False
302,0.0,0.9784946864574076,0.0,0.0,0.0,0.0,0.0,0.0215053135425923,0.0,0.0,0.0,0.0,7.25,2.78701076141758,2.4152151465840483,False
323,0.0,0.9248878986594464,0.0,0.0,0.0,0.0,0.0751121013405533,0.0,0.0,0.0,0.0,0.0,14.0,2.810505603665971,2.410495518748491,False
357,0.0,0.955709072902028,0.0,0.0,0.0,0.0,0.0442909270979718,0.0,0.0,0.0,0.0,0.0,8.5,2.8020914230977465,2.4254746094303856,False
411,0.0,0.969139640221428,0.0,0.0,0.0,0.0,0.030860359778572,0.0,0.0,0.0,0.0,0.0,6.0,2.79842487821955,2.432001865147614,False
548,0.0,0.927765123596847,0.0,0.0,0.0,0.0,0.0722348764031529,0.0,0.0,0.0,0.0,0.0,13.5,2.809720121258061,2.411893850068068,False
